country,country_code,indicator,indicator_code,year,value
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,1977,1213.67021714646
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,1978,1374.82027453607
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,1979,1705.14199048287
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,1980,2053.10327921275
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,1981,2310.19699820442
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,1982,2569.18182363887
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,1983,2846.99335735773
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,1984,3270.7810304062
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,1985,3814.3142290779
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,1986,4629.45676400154
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,1987,5424.36847756962
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,1988,6466.15683473424
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,1989,7187.90484128028
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,1990,7590.75442423046
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,1991,7956.47430919648
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,1992,8153.73786307269
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,1993,8624.62016806628
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,1994,9351.48753768505
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,1995,9034.47552907143
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,1996,9756.08717951992
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,1997,10336.2591617838
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,1998,10906.8785406961
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,1999,11342.3349230913
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,12027.4949768222
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,11539.1825063308
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,2002,11658.6949915956
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,2003,12173.2319860305
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,2004,13037.8895772257
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,2005,14368.5708796058
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,2006,16173.8136329968
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,2007,18204.5124043068
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,2008,18786.6743142216
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,2009,16472.2478528568
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,2010,15217.3950790922
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,2011,14911.7275084471
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,2012,15639.8078114787
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,2013,15051.5113587425
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,15532.1062063584
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,2015,16077.6340769406
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,2016,16556.8551801588
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,2017,16965.7288273816
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,2018,18273.4270684912
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,2019,18896.3721832248
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,2020,15369.6082250401
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,2021,17348.6006987182
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,2022,20105.1989085164
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,2023,21494.5474000727
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,2024,23725.7903725506
