country,country_code,indicator,indicator_code,year,value
Argentina,ARG,"Population, total",SP.POP.TOTL,1960,20386045.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1961,20726276.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1962,21072538.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1963,21421705.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1964,21769453.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1965,22112629.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1966,22453893.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1967,22799059.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1968,23150583.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1969,23508711.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1970,23878327.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1971,24257208.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1972,24644328.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1973,25046005.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1974,25461351.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1975,25874107.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1976,26282283.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1977,26701805.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1978,27132158.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1979,27568895.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1980,28011596.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1981,28463959.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1982,28924262.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1983,29391332.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1984,29863093.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1985,30336441.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1986,30811980.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1987,31291762.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1988,31780532.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1989,32270948.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1990,32755901.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1991,33230294.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1992,33693527.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1993,34152717.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1994,34613491.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1995,35070020.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1996,35513793.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1997,35947791.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1998,36372860.0
Argentina,ARG,"Population, total",SP.POP.TOTL,1999,36794682.0
Argentina,ARG,"Population, total",SP.POP.TOTL,2000,37213984.0
Argentina,ARG,"Population, total",SP.POP.TOTL,2001,37624825.0
Argentina,ARG,"Population, total",SP.POP.TOTL,2002,38029349.0
Argentina,ARG,"Population, total",SP.POP.TOTL,2003,38424282.0
Argentina,ARG,"Population, total",SP.POP.TOTL,2004,38815916.0
Argentina,ARG,"Population, total",SP.POP.TOTL,2005,39216789.0
Argentina,ARG,"Population, total",SP.POP.TOTL,2006,39622115.0
Argentina,ARG,"Population, total",SP.POP.TOTL,2007,40016763.0
Argentina,ARG,"Population, total",SP.POP.TOTL,2008,40424148.0
Argentina,ARG,"Population, total",SP.POP.TOTL,2009,40854831.0
Argentina,ARG,"Population, total",SP.POP.TOTL,2010,41288694.0
Argentina,ARG,"Population, total",SP.POP.TOTL,2011,41730660.0
Argentina,ARG,"Population, total",SP.POP.TOTL,2012,42161721.0
Argentina,ARG,"Population, total",SP.POP.TOTL,2013,42582455.0
Argentina,ARG,"Population, total",SP.POP.TOTL,2014,43024071.0
Argentina,ARG,"Population, total",SP.POP.TOTL,2015,43477012.0
Argentina,ARG,"Population, total",SP.POP.TOTL,2016,43900313.0
Argentina,ARG,"Population, total",SP.POP.TOTL,2017,44288894.0
Argentina,ARG,"Population, total",SP.POP.TOTL,2018,44654882.0
Argentina,ARG,"Population, total",SP.POP.TOTL,2019,44973465.0
Argentina,ARG,"Population, total",SP.POP.TOTL,2020,45191965.0
Argentina,ARG,"Population, total",SP.POP.TOTL,2021,45312281.0
Argentina,ARG,"Population, total",SP.POP.TOTL,2022,45407904.0
Argentina,ARG,"Population, total",SP.POP.TOTL,2023,45538401.0
Argentina,ARG,"Population, total",SP.POP.TOTL,2024,45696159.0
