country,country_code,indicator,indicator_code,year,value
Armenia,ARM,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1993,-67730000.0
Armenia,ARM,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1994,-103780000.0
Armenia,ARM,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1995,-220677007.0
Armenia,ARM,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1996,-322209052.982993
Armenia,ARM,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1997,-335738764.986447
Armenia,ARM,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1998,-416148343.902794
Armenia,ARM,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1999,-312542932.852967
Armenia,ARM,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2000,-301667882.53552
Armenia,ARM,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2001,-221164164.287385
Armenia,ARM,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2002,-147810525.588102
Armenia,ARM,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2003,-173510013.114181
Armenia,ARM,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2004,-78841446.2541776
Armenia,ARM,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2005,-123899753.898011
Armenia,ARM,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2006,-152931434.45237
Armenia,ARM,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2007,-677270882.378012
Armenia,ARM,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2008,-1658884233.70808
Armenia,ARM,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2009,-1425501011.33033
Armenia,ARM,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2010,-1261431337.93129
Armenia,ARM,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2011,-1058869760.23295
Armenia,ARM,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2012,-1057931944.57862
Armenia,ARM,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2013,-813673760.481535
Armenia,ARM,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2014,-901811470.85351
Armenia,ARM,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2015,-280909482.692554
Armenia,ARM,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2016,-100882015.773896
Armenia,ARM,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2017,-145329440.857089
Armenia,ARM,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2018,-900475279.647257
Armenia,ARM,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2019,-961095046.730815
Armenia,ARM,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2020,-505386527.321538
Armenia,ARM,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2021,-482982405.93626
Armenia,ARM,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2022,64724981.1752238
Armenia,ARM,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2023,-556329378.256355
Armenia,ARM,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2024,-997085509.735734
