country,country_code,indicator,indicator_code,year,value
Aruba,ABW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1986,-18659217.877095
Aruba,ABW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1987,-22569832.4022346
Aruba,ABW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1988,-44301675.9776536
Aruba,ABW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1989,-46703910.6145251
Aruba,ABW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1990,-158156424.581006
Aruba,ABW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1991,-209497206.703911
Aruba,ABW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1992,43798882.6815642
Aruba,ABW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1993,41731843.575419
Aruba,ABW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1994,81061452.5139665
Aruba,ABW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1995,-279329.60893854
Aruba,ABW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1996,-69106145.2513967
Aruba,ABW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1997,-195810055.865922
Aruba,ABW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1998,-18770949.7206703
Aruba,ABW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1999,-435513966.480447
Aruba,ABW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2000,207145251.396648
Aruba,ABW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2001,308759776.536313
Aruba,ABW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2002,-340251396.648045
Aruba,ABW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2003,-165553072.625698
Aruba,ABW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2004,270888268.156425
Aruba,ABW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2005,104963491.341427
Aruba,ABW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2006,310555693.72256
Aruba,ABW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2007,258268156.424581
Aruba,ABW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2008,111731.84357547
Aruba,ABW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2009,171675977.653631
Aruba,ABW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2010,-460111731.843575
Aruba,ABW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2011,-260558659.217877
Aruba,ABW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2012,90837988.8268156
Aruba,ABW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2013,-322246518.293631
Aruba,ABW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2014,-130013879.725995
Aruba,ABW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2015,118342714.096141
Aruba,ABW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2016,141178986.061164
Aruba,ABW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2017,34628879.7929171
Aruba,ABW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2018,-19374275.5327724
Aruba,ABW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2019,84796821.7557427
Aruba,ABW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2020,-316455499.952177
Aruba,ABW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2021,79257066.7080489
Aruba,ABW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2022,230555794.451357
Aruba,ABW,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2023,194498402.118932
