country,country_code,indicator,indicator_code,year,value
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1976,227500000.0
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1977,201900000.0
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1978,224400000.0
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1979,260700000.0
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1980,377100000.0
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1981,332100000.0
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1982,316900000.0
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1983,332900000.0
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1984,353800000.0
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1985,370500000.0
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1986,335300000.0
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1987,324800000.0
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1988,310800000.0
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1989,221000000.0
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1990,283500000.0
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1991,229400000.0
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1992,216600000.0
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1993,192200000.0
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1994,198500000.0
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1995,225400000.0
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1996,273300000.0
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1997,295000000.0
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1998,362900000.0
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1999,406800000.0
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2000,464800000.0
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2001,416900000.0
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2002,422066878.45
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2003,426530000.0
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2004,477460000.0
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2005,549132570.0
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2006,703540000.0
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2007,801874138.25
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2008,955822000.0
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2009,710680000.0
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2010,702435000.0
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2011,833539000.0
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2012,984017000.0
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2013,954914000.0
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2014,833944931.65
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2015,520531829.165
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2016,481397433.12
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2017,570600436.5375
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2018,641734133.8575
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2019,695323347.2775
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2020,431367905.486716
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2021,638590377.344477
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2022,814400357.414388
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2023,862216444.901773
"Bahamas, The",BHS,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2024,873793414.628885
