country,country_code,indicator,indicator_code,year,value
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1976,-276313647.413358
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1977,-280958219.54051
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1978,-383906631.134301
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1979,-415947091.675334
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1980,-702138190.804776
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1981,-1016620063.36091
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1982,-500670224.195334
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1983,-45800312.896152
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1984,-477650344.929693
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1985,-455173414.815745
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1986,-625181389.19218
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1987,-237116009.329417
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1988,-272836596.925602
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1989,-1099566160.52061
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1990,-397909576.598945
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1991,64593233.3294281
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1992,180790960.390377
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1993,359263637.714099
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1994,199568821.474148
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1995,-823880196.636126
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1996,-991418974.99847
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1997,-286312953.221846
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1998,-35165989.3452837
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1999,-364355314.194405
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2000,-305831650.648
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2001,-535424727.721444
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2002,739250272.000126
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2003,131637632.009357
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2004,-278679383.745514
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2005,-173741535.952962
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2006,1196063083.00571
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2007,856792635.005175
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2008,926185438.562718
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2009,3556126394.04663
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2010,2108502536.74167
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2011,-161842538.678825
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2012,2575500680.61049
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2013,2058473420.43086
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2014,755790761.660141
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2015,2579621008.77621
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2016,931393867.987116
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2017,-5984992475.63152
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2018,-7095172568.14978
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2019,-2948537074.51494
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2020,1192771686.32568
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2021,-15775415833.0742
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2022,-14437645294.5495
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2023,4387571900.12179
Bangladesh,BGD,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2024,1870437041.05476
