country,country_code,indicator,indicator_code,year,value
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1960,80021846.9453826
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1961,85363759.3406016
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1962,88782583.460208
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1963,99893761.2655968
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1964,99252731.4515047
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1965,105021996.861675
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1966,113195122.762193
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1967,125554008.718721
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1968,125733668.5
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1969,141393142.0
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1970,166210203.0
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1971,186826503.031076
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1972,213725216.665339
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1973,260767827.621284
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1974,311804629.873599
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1975,402178605.019554
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1976,435911268.58968
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1977,495097667.929041
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1978,552883707.055138
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1979,670362452.145379
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1980,1012280614.52792
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1981,1114204743.20091
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1982,1163923830.35847
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1983,1236016506.73694
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1984,1346890071.09829
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1985,1409536120.91682
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1986,1547755183.21484
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1987,1704370307.76115
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1988,1812757917.76463
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1989,2006165166.80754
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1990,2012131457.26644
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1991,2020583702.08323
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1992,1957000000.0
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1993,2063342117.03873
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1994,2151344901.30761
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1995,2216974096.35559
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1996,2363645403.47039
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1997,2498384129.66738
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1998,2817083478.34734
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,1999,2951822204.54432
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,2000,3059500000.0
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,2001,3054500000.0
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,2002,3106500000.0
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,2003,3209500000.0
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,2004,3444500000.0
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,2005,3819500000.0
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,2006,4217323400.0
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,2007,4675767950.0
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,2008,4790410400.0
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,2009,4466809600.0
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,2010,5191188500.0
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,2011,5342183800.0
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,2012,5271257500.0
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,2013,5361158350.0
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,2014,5365976700.0
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,2015,5288057750.0
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,2016,5330761500.0
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,2017,5517340450.0
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,2018,5629916200.0
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,2019,5788288000.0
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,2020,5168344450.0
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,2021,5275242050.0
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,2022,6257303500.0
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,2023,6720733200.0
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,2024,7165000000.0
