country,country_code,indicator,indicator_code,year,value
Belarus,BLR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1993,1970100000.0
Belarus,BLR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1994,2510000000.0
Belarus,BLR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1995,4803000000.0
Belarus,BLR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1996,5790100000.0
Belarus,BLR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1997,6918700000.0
Belarus,BLR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1998,6157400000.0
Belarus,BLR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1999,5645100000.0
Belarus,BLR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2000,6035300000.0
Belarus,BLR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2001,6682200000.0
Belarus,BLR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2002,7250600000.0
Belarus,BLR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2003,9177300000.0
Belarus,BLR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2004,13014600000.0
Belarus,BLR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2005,15194000000.0
Belarus,BLR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2006,18895800000.0
Belarus,BLR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2007,23309600000.0
Belarus,BLR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2008,31627400000.0
Belarus,BLR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2009,20595400000.0
Belarus,BLR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2010,24506100000.0
Belarus,BLR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2011,40927600000.0
Belarus,BLR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2012,45574300000.0
Belarus,BLR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2013,36540100000.0
Belarus,BLR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2014,35423300000.0
Belarus,BLR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2015,26164300000.0
Belarus,BLR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2016,23099800000.0
Belarus,BLR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2017,28690200000.0
Belarus,BLR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2018,33429800000.0
Belarus,BLR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2019,32333000000.0
Belarus,BLR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2020,28395600000.0
Belarus,BLR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2021,39122300000.0
Belarus,BLR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2022,37644100000.0
Belarus,BLR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2023,39037500000.0
Belarus,BLR,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2024,39496300000.0
