country,country_code,indicator,indicator_code,year,value
Belarus,BLR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1960,32.401
Belarus,BLR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1961,33.522
Belarus,BLR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1962,34.663
Belarus,BLR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1963,35.822
Belarus,BLR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1964,37.0
Belarus,BLR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1965,38.127
Belarus,BLR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1966,39.269
Belarus,BLR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1967,40.422
Belarus,BLR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1968,41.588
Belarus,BLR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1969,42.76
Belarus,BLR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1970,44.01
Belarus,BLR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1971,45.349
Belarus,BLR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1972,46.697
Belarus,BLR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1973,48.046
Belarus,BLR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1974,49.4
Belarus,BLR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1975,50.614
Belarus,BLR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1976,51.829
Belarus,BLR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1977,53.039
Belarus,BLR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1978,54.247
Belarus,BLR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1979,55.402
Belarus,BLR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1980,56.498
Belarus,BLR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1981,57.584
Belarus,BLR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1982,58.664
Belarus,BLR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1983,59.736
Belarus,BLR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1984,60.8
