country,country_code,indicator,indicator_code,year,value
Belgium,BEL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1995,62.7913274369077
Belgium,BEL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1996,62.5668554010017
Belgium,BEL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1997,62.0694194371747
Belgium,BEL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1998,62.6376148958103
Belgium,BEL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1999,63.4140241577235
Belgium,BEL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2000,63.0558428934957
Belgium,BEL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2001,64.1634154249023
Belgium,BEL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2002,64.6783106970426
Belgium,BEL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2003,65.312044586028
Belgium,BEL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2004,65.24479338804
Belgium,BEL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2005,65.8743326615868
Belgium,BEL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2006,66.148949028376
Belgium,BEL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2007,66.0540499955037
Belgium,BEL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2008,66.9573617790939
Belgium,BEL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2009,68.2494049346212
Belgium,BEL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2010,67.916796056848
Belgium,BEL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2011,68.1083915474617
Belgium,BEL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2012,68.6739965906651
Belgium,BEL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2013,68.8013394276922
Belgium,BEL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2014,69.2884674792442
Belgium,BEL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2015,69.4272004004447
Belgium,BEL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2016,69.5878866778803
Belgium,BEL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2017,69.4180202757195
Belgium,BEL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2018,69.6766949921631
Belgium,BEL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2019,69.5353313801023
Belgium,BEL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2020,70.3395076969123
Belgium,BEL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2021,70.7487167204956
Belgium,BEL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2022,69.9754395208179
Belgium,BEL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2023,71.0911909657571
Belgium,BEL,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2024,72.1014508686628
