country,country_code,indicator,indicator_code,year,value
Benin,BEN,"Population, total",SP.POP.TOTL,1960,2517286.0
Benin,BEN,"Population, total",SP.POP.TOTL,1961,2559223.0
Benin,BEN,"Population, total",SP.POP.TOTL,1962,2604659.0
Benin,BEN,"Population, total",SP.POP.TOTL,1963,2652908.0
Benin,BEN,"Population, total",SP.POP.TOTL,1964,2704003.0
Benin,BEN,"Population, total",SP.POP.TOTL,1965,2757936.0
Benin,BEN,"Population, total",SP.POP.TOTL,1966,2814317.0
Benin,BEN,"Population, total",SP.POP.TOTL,1967,2872997.0
Benin,BEN,"Population, total",SP.POP.TOTL,1968,2934257.0
Benin,BEN,"Population, total",SP.POP.TOTL,1969,2998222.0
Benin,BEN,"Population, total",SP.POP.TOTL,1970,3065057.0
Benin,BEN,"Population, total",SP.POP.TOTL,1971,3134767.0
Benin,BEN,"Population, total",SP.POP.TOTL,1972,3207543.0
Benin,BEN,"Population, total",SP.POP.TOTL,1973,3283496.0
Benin,BEN,"Population, total",SP.POP.TOTL,1974,3362633.0
Benin,BEN,"Population, total",SP.POP.TOTL,1975,3445407.0
Benin,BEN,"Population, total",SP.POP.TOTL,1976,3532196.0
Benin,BEN,"Population, total",SP.POP.TOTL,1977,3623202.0
Benin,BEN,"Population, total",SP.POP.TOTL,1978,3718305.0
Benin,BEN,"Population, total",SP.POP.TOTL,1979,3818528.0
Benin,BEN,"Population, total",SP.POP.TOTL,1980,3925251.0
Benin,BEN,"Population, total",SP.POP.TOTL,1981,4038307.0
Benin,BEN,"Population, total",SP.POP.TOTL,1982,4156596.0
Benin,BEN,"Population, total",SP.POP.TOTL,1983,4278978.0
Benin,BEN,"Population, total",SP.POP.TOTL,1984,4405895.0
Benin,BEN,"Population, total",SP.POP.TOTL,1985,4538012.0
Benin,BEN,"Population, total",SP.POP.TOTL,1986,4675420.0
Benin,BEN,"Population, total",SP.POP.TOTL,1987,4818486.0
Benin,BEN,"Population, total",SP.POP.TOTL,1988,4967341.0
Benin,BEN,"Population, total",SP.POP.TOTL,1989,5121657.0
Benin,BEN,"Population, total",SP.POP.TOTL,1990,5281479.0
Benin,BEN,"Population, total",SP.POP.TOTL,1991,5446932.0
Benin,BEN,"Population, total",SP.POP.TOTL,1992,5617844.0
Benin,BEN,"Population, total",SP.POP.TOTL,1993,5872706.0
Benin,BEN,"Population, total",SP.POP.TOTL,1994,6096506.0
Benin,BEN,"Population, total",SP.POP.TOTL,1995,6226773.0
Benin,BEN,"Population, total",SP.POP.TOTL,1996,6391858.0
Benin,BEN,"Population, total",SP.POP.TOTL,1997,6583365.0
Benin,BEN,"Population, total",SP.POP.TOTL,1998,6789489.0
Benin,BEN,"Population, total",SP.POP.TOTL,1999,7002818.0
Benin,BEN,"Population, total",SP.POP.TOTL,2000,7221619.0
Benin,BEN,"Population, total",SP.POP.TOTL,2001,7445596.0
Benin,BEN,"Population, total",SP.POP.TOTL,2002,7675426.0
Benin,BEN,"Population, total",SP.POP.TOTL,2003,7913070.0
Benin,BEN,"Population, total",SP.POP.TOTL,2004,8159094.0
Benin,BEN,"Population, total",SP.POP.TOTL,2005,8426144.0
Benin,BEN,"Population, total",SP.POP.TOTL,2006,8693242.0
Benin,BEN,"Population, total",SP.POP.TOTL,2007,8953969.0
Benin,BEN,"Population, total",SP.POP.TOTL,2008,9228466.0
Benin,BEN,"Population, total",SP.POP.TOTL,2009,9509423.0
Benin,BEN,"Population, total",SP.POP.TOTL,2010,9797484.0
Benin,BEN,"Population, total",SP.POP.TOTL,2011,10093623.0
Benin,BEN,"Population, total",SP.POP.TOTL,2012,10397657.0
Benin,BEN,"Population, total",SP.POP.TOTL,2013,10708834.0
Benin,BEN,"Population, total",SP.POP.TOTL,2014,11030004.0
Benin,BEN,"Population, total",SP.POP.TOTL,2015,11360681.0
Benin,BEN,"Population, total",SP.POP.TOTL,2016,11697842.0
Benin,BEN,"Population, total",SP.POP.TOTL,2017,12039780.0
Benin,BEN,"Population, total",SP.POP.TOTL,2018,12383347.0
Benin,BEN,"Population, total",SP.POP.TOTL,2019,12726755.0
Benin,BEN,"Population, total",SP.POP.TOTL,2020,13070169.0
Benin,BEN,"Population, total",SP.POP.TOTL,2021,13413417.0
Benin,BEN,"Population, total",SP.POP.TOTL,2022,13759501.0
Benin,BEN,"Population, total",SP.POP.TOTL,2023,14111034.0
Benin,BEN,"Population, total",SP.POP.TOTL,2024,14462724.0
