country,country_code,indicator,indicator_code,year,value
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1980,46.2297681811503
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1981,42.5914934830424
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1982,39.8476600886495
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1983,37.5431571223346
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1984,36.5996301900062
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1985,38.0075537615198
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1986,39.108064754854
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1987,37.8894906835138
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1988,39.417004101842
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1989,41.4606192684709
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1990,40.4893462970522
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1991,40.8555988097591
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1992,38.568942793617
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1993,38.7820316996788
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1994,35.2602553632966
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1995,34.314044812224
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1996,35.4029065810325
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1997,34.9859090216537
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1998,37.593916322832
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1999,36.1256939110001
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2000,42.1566663693147
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2001,40.7807194999074
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2002,39.1970368965385
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2003,39.7682589472703
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2004,40.8895511836735
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2005,42.9950210131867
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2006,42.6160321828383
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2007,39.530074582945
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2008,40.7035555813489
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2009,42.7819265616631
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2010,43.0053074381572
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2011,44.7529435650107
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2012,42.3928113368956
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2013,42.4570483572225
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2014,43.0401099714327
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2015,43.7448391110349
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2016,43.4015603426375
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2017,43.2393187922464
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2018,45.6144367238745
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2019,49.6273581830858
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2020,49.9816378154438
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2021,50.1791654417428
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2022,51.196794354919
Bhutan,BTN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2023,52.6796281066804
