country,country_code,indicator,indicator_code,year,value
Botswana,BWA,"Population, total",SP.POP.TOTL,1960,516165.0
Botswana,BWA,"Population, total",SP.POP.TOTL,1961,527942.0
Botswana,BWA,"Population, total",SP.POP.TOTL,1962,540186.0
Botswana,BWA,"Population, total",SP.POP.TOTL,1963,552966.0
Botswana,BWA,"Population, total",SP.POP.TOTL,1964,566266.0
Botswana,BWA,"Population, total",SP.POP.TOTL,1965,574664.0
Botswana,BWA,"Population, total",SP.POP.TOTL,1966,577866.0
Botswana,BWA,"Population, total",SP.POP.TOTL,1967,580933.0
Botswana,BWA,"Population, total",SP.POP.TOTL,1968,583966.0
Botswana,BWA,"Population, total",SP.POP.TOTL,1969,587066.0
Botswana,BWA,"Population, total",SP.POP.TOTL,1970,590334.0
Botswana,BWA,"Population, total",SP.POP.TOTL,1971,600481.0
Botswana,BWA,"Population, total",SP.POP.TOTL,1972,622407.0
Botswana,BWA,"Population, total",SP.POP.TOTL,1973,652408.0
Botswana,BWA,"Population, total",SP.POP.TOTL,1974,685448.0
Botswana,BWA,"Population, total",SP.POP.TOTL,1975,720380.0
Botswana,BWA,"Population, total",SP.POP.TOTL,1976,758508.0
Botswana,BWA,"Population, total",SP.POP.TOTL,1977,799574.0
Botswana,BWA,"Population, total",SP.POP.TOTL,1978,849239.0
Botswana,BWA,"Population, total",SP.POP.TOTL,1979,901742.0
Botswana,BWA,"Population, total",SP.POP.TOTL,1980,937485.0
Botswana,BWA,"Population, total",SP.POP.TOTL,1981,969996.0
Botswana,BWA,"Population, total",SP.POP.TOTL,1982,1009269.0
Botswana,BWA,"Population, total",SP.POP.TOTL,1983,1046137.0
Botswana,BWA,"Population, total",SP.POP.TOTL,1984,1083660.0
Botswana,BWA,"Population, total",SP.POP.TOTL,1985,1121945.0
Botswana,BWA,"Population, total",SP.POP.TOTL,1986,1160650.0
Botswana,BWA,"Population, total",SP.POP.TOTL,1987,1199167.0
Botswana,BWA,"Population, total",SP.POP.TOTL,1988,1235476.0
Botswana,BWA,"Population, total",SP.POP.TOTL,1989,1270274.0
Botswana,BWA,"Population, total",SP.POP.TOTL,1990,1305696.0
Botswana,BWA,"Population, total",SP.POP.TOTL,1991,1341756.0
Botswana,BWA,"Population, total",SP.POP.TOTL,1992,1380033.0
Botswana,BWA,"Population, total",SP.POP.TOTL,1993,1420115.0
Botswana,BWA,"Population, total",SP.POP.TOTL,1994,1460023.0
Botswana,BWA,"Population, total",SP.POP.TOTL,1995,1498836.0
Botswana,BWA,"Population, total",SP.POP.TOTL,1996,1535914.0
Botswana,BWA,"Population, total",SP.POP.TOTL,1997,1571691.0
Botswana,BWA,"Population, total",SP.POP.TOTL,1998,1606899.0
Botswana,BWA,"Population, total",SP.POP.TOTL,1999,1641997.0
Botswana,BWA,"Population, total",SP.POP.TOTL,2000,1677382.0
Botswana,BWA,"Population, total",SP.POP.TOTL,2001,1712254.0
Botswana,BWA,"Population, total",SP.POP.TOTL,2002,1744763.0
Botswana,BWA,"Population, total",SP.POP.TOTL,2003,1775736.0
Botswana,BWA,"Population, total",SP.POP.TOTL,2004,1807146.0
Botswana,BWA,"Population, total",SP.POP.TOTL,2005,1839877.0
Botswana,BWA,"Population, total",SP.POP.TOTL,2006,1874516.0
Botswana,BWA,"Population, total",SP.POP.TOTL,2007,1911201.0
Botswana,BWA,"Population, total",SP.POP.TOTL,2008,1949970.0
Botswana,BWA,"Population, total",SP.POP.TOTL,2009,1990673.0
Botswana,BWA,"Population, total",SP.POP.TOTL,2010,2033111.0
Botswana,BWA,"Population, total",SP.POP.TOTL,2011,2073535.0
Botswana,BWA,"Population, total",SP.POP.TOTL,2012,2108617.0
Botswana,BWA,"Population, total",SP.POP.TOTL,2013,2140682.0
Botswana,BWA,"Population, total",SP.POP.TOTL,2014,2172044.0
Botswana,BWA,"Population, total",SP.POP.TOTL,2015,2203273.0
Botswana,BWA,"Population, total",SP.POP.TOTL,2016,2234776.0
Botswana,BWA,"Population, total",SP.POP.TOTL,2017,2266747.0
Botswana,BWA,"Population, total",SP.POP.TOTL,2018,2299141.0
Botswana,BWA,"Population, total",SP.POP.TOTL,2019,2332083.0
Botswana,BWA,"Population, total",SP.POP.TOTL,2020,2365894.0
Botswana,BWA,"Population, total",SP.POP.TOTL,2021,2401441.0
Botswana,BWA,"Population, total",SP.POP.TOTL,2022,2439892.0
Botswana,BWA,"Population, total",SP.POP.TOTL,2023,2480244.0
Botswana,BWA,"Population, total",SP.POP.TOTL,2024,2521139.0
