country,country_code,indicator,indicator_code,year,value
Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1990,14.1121292420859
Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1991,14.3976756016547
Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1992,14.3088598010122
Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1993,13.6523358280781
Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1994,13.0736945245539
Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1995,13.2870622555226
Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1996,13.8784928253593
Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1997,14.5677283478242
Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1998,14.668397589042
Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1999,14.6999207275996
Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2000,14.8577431846106
Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2001,14.1814798149467
Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2002,13.3776274685072
Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2003,13.2289347132717
Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2004,13.3447478670743
Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2005,13.2994928856977
Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2006,13.3482206693421
Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2007,13.3344320068963
Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2008,12.3901655964853
Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2009,12.3043859548638
Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2010,11.7328092981826
Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2011,11.8039212812623
Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2012,11.6644273631038
Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2013,11.6235045990299
Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2014,11.8083790792206
Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2015,12.3898109063213
Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2016,12.496562633144
Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2017,12.6120166809848
Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2018,13.0576846693075
Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2019,12.7416889014909
Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2020,13.5033320933869
Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2021,13.1224529874825
Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2022,12.6566325492645
Canada,CAN,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2023,13.8086310974467
