country,country_code,indicator,indicator_code,year,value
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1960,1702346.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1961,1734580.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1962,1768115.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1963,1803063.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1964,1839583.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1965,1877854.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1966,1918082.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1967,1960444.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1968,2005100.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1969,2051515.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1970,2097505.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1971,2141450.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1972,2183769.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1973,2226008.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1974,2269338.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1975,2313916.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1976,2348566.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1977,2372930.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1978,2397961.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1979,2423794.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1980,2450535.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1981,2478402.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1982,2507375.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1983,2537399.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1984,2568610.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1985,2600932.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1986,2634258.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1987,2669155.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1988,2713965.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1989,2783970.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1990,2871910.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1991,2963191.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1992,3058831.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1993,3157839.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1994,3257954.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1995,3348052.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1996,3435965.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1997,3531700.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1998,3628827.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,1999,3729450.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,2000,3833416.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,2001,3919487.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,2002,4006077.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,2003,4103086.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,2004,4192826.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,2005,4288810.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,2006,4377579.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,2007,4462770.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,2008,4558984.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,2009,4529047.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,2010,4492995.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,2011,4565021.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,2012,4610848.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,2013,4642419.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,2014,4623182.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,2015,4629320.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,2016,4713663.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,2017,4793511.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,2018,4878657.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,2019,4944703.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,2020,5026628.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,2021,5112100.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,2022,5098039.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,2023,5152421.0
Central African Republic,CAF,"Population, total",SP.POP.TOTL,2024,5330690.0
