country,country_code,indicator,indicator_code,year,value
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,1998,40472.6653548172
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,1999,42443.7199726991
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,43479.1940767689
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,41873.7406146127
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,2002,44459.7318188977
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,2003,48570.7796632166
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,2004,56259.5344226334
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,2005,57647.1188908006
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,2006,62745.1006593557
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,2007,74139.97799443
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,2009,57778.5407063052
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,2010,56121.6387322912
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,2011,60419.2321641296
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,2012,58813.9364818794
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,2013,59304.850854272
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,64700.7423916131
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,2015,61852.0735568957
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,2016,55950.1482938989
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,2017,55806.5708942966
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,2018,60783.3529257544
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,2019,60568.108347955
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,2020,56785.9402005039
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,2021,66912.1753241171
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,2022,67627.3084478235
Channel Islands,CHI,GDP per capita (current US$),NY.GDP.PCAP.CD,2023,74589.1381155014
