country,country_code,indicator,indicator_code,year,value
Costa Rica,CRI,"Labor force, total",SL.TLF.TOTL.IN,1990,1146377.0
Costa Rica,CRI,"Labor force, total",SL.TLF.TOTL.IN,1991,1162715.0
Costa Rica,CRI,"Labor force, total",SL.TLF.TOTL.IN,1992,1180500.0
Costa Rica,CRI,"Labor force, total",SL.TLF.TOTL.IN,1993,1236713.0
Costa Rica,CRI,"Labor force, total",SL.TLF.TOTL.IN,1994,1286844.0
Costa Rica,CRI,"Labor force, total",SL.TLF.TOTL.IN,1995,1351531.0
Costa Rica,CRI,"Labor force, total",SL.TLF.TOTL.IN,1996,1345220.0
Costa Rica,CRI,"Labor force, total",SL.TLF.TOTL.IN,1997,1441542.0
Costa Rica,CRI,"Labor force, total",SL.TLF.TOTL.IN,1998,1526529.0
Costa Rica,CRI,"Labor force, total",SL.TLF.TOTL.IN,1999,1573058.0
Costa Rica,CRI,"Labor force, total",SL.TLF.TOTL.IN,2000,1596716.0
Costa Rica,CRI,"Labor force, total",SL.TLF.TOTL.IN,2001,1679060.0
Costa Rica,CRI,"Labor force, total",SL.TLF.TOTL.IN,2002,1710423.0
Costa Rica,CRI,"Labor force, total",SL.TLF.TOTL.IN,2003,1762605.0
Costa Rica,CRI,"Labor force, total",SL.TLF.TOTL.IN,2004,1771024.0
Costa Rica,CRI,"Labor force, total",SL.TLF.TOTL.IN,2005,1888687.0
Costa Rica,CRI,"Labor force, total",SL.TLF.TOTL.IN,2006,1911390.0
Costa Rica,CRI,"Labor force, total",SL.TLF.TOTL.IN,2007,1978866.0
Costa Rica,CRI,"Labor force, total",SL.TLF.TOTL.IN,2008,2003972.0
Costa Rica,CRI,"Labor force, total",SL.TLF.TOTL.IN,2009,2030924.0
Costa Rica,CRI,"Labor force, total",SL.TLF.TOTL.IN,2010,2027352.0
Costa Rica,CRI,"Labor force, total",SL.TLF.TOTL.IN,2011,2114264.0
Costa Rica,CRI,"Labor force, total",SL.TLF.TOTL.IN,2012,2283817.0
Costa Rica,CRI,"Labor force, total",SL.TLF.TOTL.IN,2013,2299128.0
Costa Rica,CRI,"Labor force, total",SL.TLF.TOTL.IN,2014,2357268.0
Costa Rica,CRI,"Labor force, total",SL.TLF.TOTL.IN,2015,2344336.0
Costa Rica,CRI,"Labor force, total",SL.TLF.TOTL.IN,2016,2262369.0
Costa Rica,CRI,"Labor force, total",SL.TLF.TOTL.IN,2017,2300637.0
Costa Rica,CRI,"Labor force, total",SL.TLF.TOTL.IN,2018,2422784.0
Costa Rica,CRI,"Labor force, total",SL.TLF.TOTL.IN,2019,2534006.0
Costa Rica,CRI,"Labor force, total",SL.TLF.TOTL.IN,2020,2419014.0
Costa Rica,CRI,"Labor force, total",SL.TLF.TOTL.IN,2021,2490873.0
Costa Rica,CRI,"Labor force, total",SL.TLF.TOTL.IN,2022,2504874.0
Costa Rica,CRI,"Labor force, total",SL.TLF.TOTL.IN,2023,2340587.0
Costa Rica,CRI,"Labor force, total",SL.TLF.TOTL.IN,2024,2357187.0
