country,country_code,indicator,indicator_code,year,value
Croatia,HRV,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1991,35.5099679945758
Croatia,HRV,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1992,35.4939433217562
Croatia,HRV,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1993,34.0431343989383
Croatia,HRV,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1994,36.5767988722956
Croatia,HRV,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1995,50.0785257549867
Croatia,HRV,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1996,49.4009819800157
Croatia,HRV,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1997,46.4148310140515
Croatia,HRV,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1998,46.2331566234925
Croatia,HRV,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1999,48.3202340112562
Croatia,HRV,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2000,47.221470373472
Croatia,HRV,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2001,43.7125003016312
Croatia,HRV,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2002,41.7555241414152
Croatia,HRV,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2003,40.4227438389922
Croatia,HRV,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2004,40.084253165942
Croatia,HRV,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2005,38.1824574275923
Croatia,HRV,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2006,36.2476772917254
Croatia,HRV,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2007,36.6846977821312
Croatia,HRV,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2008,37.9607687490283
Croatia,HRV,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2009,40.100543762702
Croatia,HRV,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2010,41.1447376444262
Croatia,HRV,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2011,42.0175237781233
Croatia,HRV,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2012,40.2275034908042
Croatia,HRV,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2013,40.2770017829429
Croatia,HRV,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2014,42.1284735209224
Croatia,HRV,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2015,41.5341344683407
Croatia,HRV,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2016,40.0856341620754
Croatia,HRV,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2017,39.0459451626294
Croatia,HRV,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2018,38.2935611473092
Croatia,HRV,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2019,38.4682725930331
Croatia,HRV,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2020,44.893989430739
Croatia,HRV,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2021,40.6582440623582
Croatia,HRV,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2022,37.8374255036955
Croatia,HRV,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2023,38.6809228180323
