country,country_code,indicator,indicator_code,year,value
Croatia,HRV,"Labor force, total",SL.TLF.TOTL.IN,1990,2205287.0
Croatia,HRV,"Labor force, total",SL.TLF.TOTL.IN,1991,2164697.0
Croatia,HRV,"Labor force, total",SL.TLF.TOTL.IN,1992,2100893.0
Croatia,HRV,"Labor force, total",SL.TLF.TOTL.IN,1993,2100259.0
Croatia,HRV,"Labor force, total",SL.TLF.TOTL.IN,1994,2111599.0
Croatia,HRV,"Labor force, total",SL.TLF.TOTL.IN,1995,2084050.0
Croatia,HRV,"Labor force, total",SL.TLF.TOTL.IN,1996,2042400.0
Croatia,HRV,"Labor force, total",SL.TLF.TOTL.IN,1997,2018865.0
Croatia,HRV,"Labor force, total",SL.TLF.TOTL.IN,1998,2004029.0
Croatia,HRV,"Labor force, total",SL.TLF.TOTL.IN,1999,1983687.0
Croatia,HRV,"Labor force, total",SL.TLF.TOTL.IN,2000,1953924.0
Croatia,HRV,"Labor force, total",SL.TLF.TOTL.IN,2001,1869944.0
Croatia,HRV,"Labor force, total",SL.TLF.TOTL.IN,2002,1859219.0
Croatia,HRV,"Labor force, total",SL.TLF.TOTL.IN,2003,1865731.0
Croatia,HRV,"Labor force, total",SL.TLF.TOTL.IN,2004,1912837.0
Croatia,HRV,"Labor force, total",SL.TLF.TOTL.IN,2005,1910033.0
Croatia,HRV,"Labor force, total",SL.TLF.TOTL.IN,2006,1894312.0
Croatia,HRV,"Labor force, total",SL.TLF.TOTL.IN,2007,1924883.0
Croatia,HRV,"Labor force, total",SL.TLF.TOTL.IN,2008,1934423.0
Croatia,HRV,"Labor force, total",SL.TLF.TOTL.IN,2009,1932994.0
Croatia,HRV,"Labor force, total",SL.TLF.TOTL.IN,2010,1911488.0
Croatia,HRV,"Labor force, total",SL.TLF.TOTL.IN,2011,1880052.0
Croatia,HRV,"Labor force, total",SL.TLF.TOTL.IN,2012,1857929.0
Croatia,HRV,"Labor force, total",SL.TLF.TOTL.IN,2013,1830102.0
Croatia,HRV,"Labor force, total",SL.TLF.TOTL.IN,2014,1872249.0
Croatia,HRV,"Labor force, total",SL.TLF.TOTL.IN,2015,1866214.0
Croatia,HRV,"Labor force, total",SL.TLF.TOTL.IN,2016,1796035.0
Croatia,HRV,"Labor force, total",SL.TLF.TOTL.IN,2017,1777161.0
Croatia,HRV,"Labor force, total",SL.TLF.TOTL.IN,2018,1739585.0
Croatia,HRV,"Labor force, total",SL.TLF.TOTL.IN,2019,1721494.0
Croatia,HRV,"Labor force, total",SL.TLF.TOTL.IN,2020,1708121.0
Croatia,HRV,"Labor force, total",SL.TLF.TOTL.IN,2021,1724158.0
Croatia,HRV,"Labor force, total",SL.TLF.TOTL.IN,2022,1740579.0
Croatia,HRV,"Labor force, total",SL.TLF.TOTL.IN,2023,1731721.0
Croatia,HRV,"Labor force, total",SL.TLF.TOTL.IN,2024,1733415.0
