country,country_code,indicator,indicator_code,year,value
Croatia,HRV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1993,4619588794.10398
Croatia,HRV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1994,5681287068.84863
Croatia,HRV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1995,7744877260.7507
Croatia,HRV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1996,8147022178.85178
Croatia,HRV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1997,9384498496.64978
Croatia,HRV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1998,8625388893.69367
Croatia,HRV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1999,7673903124.14
Croatia,HRV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2000,6632569890.79397
Croatia,HRV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2001,7771890870.79353
Croatia,HRV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2002,9849820560.92338
Croatia,HRV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2003,12956669823.4835
Croatia,HRV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2004,15196704265.1153
Croatia,HRV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2005,17023971543.5963
Croatia,HRV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2006,19636562166.4644
Croatia,HRV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2007,23667691388.4202
Croatia,HRV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2008,27618661607.563
Croatia,HRV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2009,19556654024.8655
Croatia,HRV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2010,18522333342.1379
Croatia,HRV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2011,21076488234.2395
Croatia,HRV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2012,19232524954.4952
Croatia,HRV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2013,20643969084.8743
Croatia,HRV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2014,21358907182.7028
Croatia,HRV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2015,19197058058.7417
Croatia,HRV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2016,20051758366.7086
Croatia,HRV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2017,22771848823.6476
Croatia,HRV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2018,25813210854.7802
Croatia,HRV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2019,26100037013.7713
Croatia,HRV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2020,23862165303.4509
Croatia,HRV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2021,30956267149.7114
Croatia,HRV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2022,40860781561.3502
Croatia,HRV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2023,39713279128.1758
Croatia,HRV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2024,41510922436.0578
