country,country_code,indicator,indicator_code,year,value
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,15841.2612359949
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,16609.8454536485
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,2002,16723.6925253468
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,2003,16695.7351137757
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,2004,16671.3403391655
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,2005,17032.3356620744
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,2006,17400.1637780186
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,2007,18005.7165850772
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,2008,19423.3352430175
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,2009,19540.2476579348
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,2010,19847.2310127979
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,2011,19426.326382752
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,2012,19809.8223198624
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,2013,19721.2921646576
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,19623.029993395
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,2015,19361.8130008678
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,2016,18944.0961493998
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,2017,18938.2440469703
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,2018,19119.1243941688
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,2019,19220.6865793075
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,2020,16356.0933254541
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,2021,17979.9982909306
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,2022,20501.7522782219
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,2023,21061.741639092
