country,country_code,indicator,indicator_code,year,value
Curacao,CUW,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2011,797770949.72067
Curacao,CUW,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2012,854949720.670391
Curacao,CUW,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2013,618837988.826816
Curacao,CUW,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2014,630055865.921788
Curacao,CUW,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2015,407324022.346369
Curacao,CUW,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2016,362307262.569832
Curacao,CUW,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2017,425106120.547486
Curacao,CUW,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2018,586007030.603352
Curacao,CUW,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2019,398162181.307263
Curacao,CUW,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2020,270977840.564246
Curacao,CUW,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2021,343700456.631285
Curacao,CUW,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2022,553129972.022346
Curacao,CUW,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2023,560187524.921788
