country,country_code,indicator,indicator_code,year,value
Cyprus,CYP,"Population, total",SP.POP.TOTL,1960,586490.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1961,595514.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1962,601466.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1963,607252.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1964,612521.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1965,617736.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1966,623390.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1967,629251.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1968,635157.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1969,641189.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1970,647446.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1971,654050.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1972,661063.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1973,665937.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1974,663254.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1975,659405.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1976,662032.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1977,667101.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1978,672249.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1979,677549.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1980,683076.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1981,688893.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1982,696497.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1983,707225.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1984,719334.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1985,731277.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1986,743105.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1987,754785.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1988,766235.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1989,777420.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1990,788351.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1991,798944.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1992,810341.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1993,826034.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1994,844667.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1995,862695.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1996,880290.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1997,897568.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1998,914548.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,1999,931234.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,2000,947667.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,2001,964127.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,2002,981440.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,2003,999590.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,2004,1017875.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,2005,1036151.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,2006,1054418.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,2007,1072714.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,2008,1091026.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,2009,1109371.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,2010,1127816.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,2011,1146493.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,2012,1165397.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,2013,1183895.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,2014,1201801.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,2015,1219502.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,2016,1237112.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,2017,1254275.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,2018,1270737.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,2019,1286671.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,2020,1302247.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,2021,1317309.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,2022,1331370.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,2023,1344976.0
Cyprus,CYP,"Population, total",SP.POP.TOTL,2024,1358282.0
