country,country_code,indicator,indicator_code,year,value
Estonia,EST,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1992,460704442.155675
Estonia,EST,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1993,802659772.746105
Estonia,EST,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1994,995147150.209888
Estonia,EST,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1995,1296073530.32741
Estonia,EST,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1996,1381151001.44151
Estonia,EST,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1997,1703041667.23994
Estonia,EST,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1998,1866911681.5347
Estonia,EST,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1999,1660900216.94836
Estonia,EST,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2000,1899671626.13249
Estonia,EST,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2001,2083603333.18461
Estonia,EST,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2002,2410337384.8692
Estonia,EST,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2003,3304958150.3479
Estonia,EST,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2004,4384188267.32323
Estonia,EST,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2005,5730412672.49101
Estonia,EST,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2006,6977192637.62137
Estonia,EST,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2007,9388339875.93036
Estonia,EST,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2008,10546418657.3923
Estonia,EST,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2009,7395356975.82539
Estonia,EST,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2010,9910386285.20099
Estonia,EST,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2011,14456267678.8213
Estonia,EST,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2012,13807600113.4806
Estonia,EST,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2013,14563648094.0192
Estonia,EST,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2014,14643222703.9365
Estonia,EST,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2015,11862878802.1071
Estonia,EST,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2016,12435597761.9043
Estonia,EST,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2017,13525047598.624
Estonia,EST,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2018,14870729657.9268
Estonia,EST,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2019,14911482886.294
Estonia,EST,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2020,15197902503.1982
Estonia,EST,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2021,19390284928.459
Estonia,EST,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2022,21611315363.2364
Estonia,EST,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2023,19473598685.6762
Estonia,EST,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2024,19122533277.4008
