country,country_code,indicator,indicator_code,year,value
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1974,42532712.4363997
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1975,51520757.8651187
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1976,30359999.9736
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1977,11614999.9899
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1978,-70724999.9385
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1979,-119236704.29901
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1980,-129681079.755541
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1981,-81246252.0760928
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1982,-113831458.553169
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1983,-106992191.030202
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1984,-77476949.2650496
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1985,-38350140.7887515
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1986,10761338.8301797
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1987,65568671.1088556
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1988,95097026.8983392
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1989,77058654.7526335
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1990,50747475.2680138
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1991,47187662.3999797
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1992,-40567820.9288932
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1993,-63683432.3317948
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1994,1844937.21834386
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1995,-29719733.6152861
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1996,-51962748.6253248
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1997,-2740691.20221992
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1998,-93335100.8096092
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,1999,-32957910.1192531
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2000,-45863820.9206423
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2001,9000849.67433507
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2002,33206128.0636666
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2003,89400978.1622416
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2004,71299923.1529241
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2005,-102646146.918419
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2006,-196624544.895721
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2007,-65542455.5002044
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2008,-231236050.870218
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2009,-414313253.922701
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2010,-388309494.656043
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2011,-281718554.503805
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2012,239938759.254517
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2013,487018321.013205
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2014,512086156.602698
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2015,533323971.019997
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2016,297421435.220922
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2017,272798389.942983
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2018,60731705.4513621
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2019,176144195.633457
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2020,270941987.28835
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2021,125317735.082128
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2022,-140972067.874361
Eswatini,SWZ,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,2023,107534456.287695
