country,country_code,indicator,indicator_code,year,value
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1974,178813998.6513
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1975,197022950.681045
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1976,193429999.8318
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1977,183884999.8401
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1978,198719999.8272
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1979,241561211.697397
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1980,368242907.662268
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1981,387771382.629655
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1982,323996012.289684
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1983,303832690.131908
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1984,230804035.212156
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1985,176293088.989124
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1986,278420649.197249
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1987,423912509.618376
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1988,466600028.37076
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1989,494113363.156545
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1990,550337624.022276
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1991,593775067.313943
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1992,638461064.212806
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1993,684582285.0282
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1994,784305313.499923
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1995,859594964.000017
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1996,838300138.063532
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1997,945000265.844225
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1998,966107536.982918
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1999,934986791.710865
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2000,965541030.43375
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2001,1027115258.83657
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2002,1067425568.20769
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2003,1636186095.17676
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2004,1791769314.09661
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2005,1601331817.79942
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2006,1560592934.3347
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2007,1625837498.94008
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2008,1489153250.08818
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2009,1564933548.15158
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2010,1805286067.01588
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2011,1595552639.42217
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2012,1674595411.37106
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2013,1824480813.11622
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2014,1849774618.60735
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2015,1668738476.99708
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2016,1635738096.31979
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2017,1793024645.89131
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2018,1828272883.37979
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2019,1980989306.40916
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2020,1739331217.79465
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2021,2059859738.15861
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2022,2029827672.59691
Eswatini,SWZ,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2023,2029035939.89042
