country,country_code,indicator,indicator_code,year,value
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1965,30.8764940239044
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1966,29.6903460837887
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1967,33.3333333333333
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1968,40.0
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1969,32.8021248339973
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1970,34.8314606741573
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1971,34.5286885245902
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1972,29.6985815602837
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1973,30.7792207792208
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1974,31.0690423162584
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1975,25.797373358349
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1976,26.5822784810127
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1977,26.4750378214826
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1978,24.983119513842
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1979,26.8088786393773
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1980,40.4890194499064
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1981,40.0079856258734
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1982,40.3460681857118
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1983,44.4480362049459
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1984,41.7957505140507
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1985,43.7632398753894
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1986,41.4011497612784
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1987,39.8974186496258
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1988,36.6617936820695
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1989,34.8506436781571
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1990,39.643652360467
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1991,39.8446819092104
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1992,42.0223711709878
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1993,41.3275424163631
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1994,37.8823060562892
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1995,36.0817442068479
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1996,35.9176701682466
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1997,35.1599240872307
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1998,34.9578278425255
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1999,35.0982615683952
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2000,45.5575365768617
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2001,45.1238605854354
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2002,44.4470896164172
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2003,45.9339756821239
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2004,47.5121667341357
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2005,46.5702955427512
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2006,46.9321407014568
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2007,47.0545044874931
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2008,48.489487538515
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2009,48.5631484606371
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2010,49.552576625361
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2011,50.1546694355647
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2012,48.3882357807356
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2013,48.7299502461322
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2014,49.1766375595425
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2015,49.1957881121571
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2016,50.880708687703
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2017,50.8503423144242
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2018,51.8953318846531
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2019,51.3107226220615
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2020,53.1556471274583
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2021,52.9410187469299
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2022,50.9020588262269
Eswatini,SWZ,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2023,51.6745106177703
