country,country_code,indicator,indicator_code,year,value
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1960,6.433
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1961,6.65
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1962,6.874
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1963,7.104
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1964,7.342
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1965,7.587
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1966,7.84
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1967,8.1
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1968,8.26
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1969,8.422
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1970,8.588
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1971,8.756
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1972,8.928
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1973,9.102
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1974,9.279
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1975,9.46
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1976,9.644
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1977,9.83
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1978,10.02
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1979,10.214
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1980,10.41
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1981,10.61
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1982,10.813
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1983,11.02
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1984,11.232
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1985,11.453
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1986,11.679
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1987,11.909
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1988,12.143
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1989,12.38
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1990,12.621
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1991,12.867
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1992,13.116
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1993,13.37
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1994,13.627
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1995,13.827
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1996,14.006
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1997,14.186
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1998,14.369
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1999,14.553
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,14.74
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2001,14.927
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2002,15.118
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2003,15.31
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2004,15.504
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2005,15.7
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2006,15.899
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2007,16.116
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2008,16.51
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2009,16.91
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2010,17.319
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2011,17.735
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2012,18.16
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2013,18.575
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2014,18.998
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2015,19.428
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2016,19.866
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2017,20.31
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2018,20.763
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2019,21.225
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2020,21.695
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2021,22.174
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2022,22.661
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2023,23.157
Ethiopia,ETH,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2024,23.661
