country,country_code,indicator,indicator_code,year,value
Fiji,FJI,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1990,22.7570707070707
Fiji,FJI,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1991,21.871694417238
Fiji,FJI,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1992,21.5925668634943
Fiji,FJI,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1993,21.4021803766105
Fiji,FJI,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1994,21.4900303018967
Fiji,FJI,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1995,22.2061424086037
Fiji,FJI,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1996,21.2078200321371
Fiji,FJI,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2004,22.3492148047133
Fiji,FJI,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2005,21.5360119047619
Fiji,FJI,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2006,23.3862792496761
Fiji,FJI,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2007,19.2096698424659
Fiji,FJI,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2008,22.7136293118166
Fiji,FJI,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2009,21.7493556604798
Fiji,FJI,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2010,21.8225644213838
Fiji,FJI,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2011,22.9170933172774
Fiji,FJI,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2012,22.8925761350793
Fiji,FJI,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2013,23.4756627460653
Fiji,FJI,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2014,23.9766794222305
Fiji,FJI,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2015,24.8700529867802
Fiji,FJI,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2016,23.5346235421212
Fiji,FJI,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2017,24.669942067799
Fiji,FJI,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2018,23.9933534165529
Fiji,FJI,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2019,22.8238315509414
Fiji,FJI,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2020,17.1846695023088
Fiji,FJI,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2021,15.8621129929227
Fiji,FJI,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2022,18.526973447353
Fiji,FJI,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2023,20.6686683593726
