country,country_code,indicator,indicator_code,year,value
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,1965,1838.57638129761
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,1966,2171.35978202717
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,1967,2150.61571935477
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,1968,2440.8345277325
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,1969,2206.35343555808
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,1970,2228.19051620548
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,1971,2516.98260839219
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,1972,2678.18747088327
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,1973,3425.44252890097
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,1974,4273.16745814336
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,1975,5149.93762191732
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,1976,5302.06138605756
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,1977,5573.60451054244
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,1978,6848.95100426122
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,1979,8016.36524403648
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,1980,8438.72682447341
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,1981,7645.18391267409
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,1982,7416.30736944627
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,1983,7477.03464924524
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,1984,7511.32179070332
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,1985,8002.08427164997
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,1986,11913.8267538469
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,1987,14061.3873698969
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,1988,13952.8382782589
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,1989,13682.8412939782
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,1990,16293.1823294474
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,1991,16414.8132696888
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,1992,17554.3737937032
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,1993,16469.7751983669
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,1994,16806.0592491122
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,1995,18850.3149185956
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,1996,18475.7253329475
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,1997,16423.0214308681
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,1998,16759.7141702526
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,1999,16532.9022343754
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,14978.324104668
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,14640.9360062298
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,2002,16004.0583292112
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,2003,19582.8936395312
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,2004,21764.2203208782
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,2005,21984.1936230719
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,2006,22330.8676659055
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,2007,24888.1781337361
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,2008,26592.0262835732
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,2009,24434.2197555208
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,2010,22494.806706186
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,2011,22831.5185348524
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,2012,20846.5457478364
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,2013,21955.6329264095
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,22258.6321384251
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,2015,19166.9594761931
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,2016,19690.0775734589
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,2017,20826.9312492172
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,2018,21925.616043938
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,2019,21582.5892046801
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,2020,19966.4838503859
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,2021,21982.9038942614
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,2022,20738.6499971661
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,2023,22774.1418988734
