country,country_code,indicator,indicator_code,year,value
French Polynesia,PYF,"Population, total",SP.POP.TOTL,1960,83671.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,1961,85434.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,1962,87261.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,1963,89737.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,1964,92823.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,1965,96017.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,1966,99320.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,1967,102754.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,1968,106353.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,1969,110111.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,1970,114010.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,1971,117945.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,1972,121886.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,1973,125897.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,1974,129960.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,1975,134045.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,1976,138114.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,1977,142313.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,1978,146821.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,1979,151569.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,1980,156471.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,1981,161506.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,1982,166646.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,1983,171750.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,1984,176469.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,1985,180988.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,1986,185669.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,1987,190449.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,1988,195193.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,1989,199643.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,1990,203776.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,1991,207744.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,1992,211559.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,1993,215219.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,1994,218738.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,1995,222118.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,1996,225489.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,1997,229121.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,1998,232891.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,1999,236595.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,2000,240337.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,2001,244097.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,2002,247775.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,2003,251637.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,2004,255654.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,2005,259507.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,2006,263223.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,2007,266438.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,2008,268379.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,2009,269481.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,2010,270580.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,2011,271727.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,2012,273084.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,2013,274728.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,2014,276387.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,2015,277866.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,2016,279178.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,2017,280087.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,2018,279815.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,2019,279034.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,2020,279209.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,2021,279792.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,2022,280378.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,2023,281118.0
French Polynesia,PYF,"Population, total",SP.POP.TOTL,2024,281807.0
