country,country_code,indicator,indicator_code,year,value
Gabon,GAB,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2012,16.2796182811036
Gabon,GAB,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2013,16.330781875643
Gabon,GAB,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2014,15.2532453291979
Gabon,GAB,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2015,17.1851872348986
Gabon,GAB,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2016,17.0854995180674
Gabon,GAB,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2017,15.6674947805283
Gabon,GAB,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2018,13.6976362674135
Gabon,GAB,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2019,13.5418676122117
Gabon,GAB,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2020,16.4453716158986
Gabon,GAB,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2021,14.0519584891347
