country,country_code,indicator,indicator_code,year,value
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1960,17.398
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1961,18.33
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1962,19.594
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1963,20.923
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1964,22.318
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1965,23.775
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1966,25.297
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1967,26.883
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1968,28.533
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1969,30.237
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1970,32.0
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1971,34.082
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1972,36.231
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1973,38.43
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1974,40.681
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1975,42.971
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1976,45.295
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1977,47.633
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1978,49.985
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1979,52.337
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1980,54.682
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1981,57.0
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1982,58.372
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1983,59.73
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1984,61.076
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1985,62.402
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1986,63.711
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1987,65.0
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1988,66.412
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1989,67.792
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1990,69.143
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1991,70.462
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1992,71.749
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1993,72.999
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1994,73.921
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1995,74.797
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1996,75.654
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1997,76.49
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1998,77.306
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1999,78.102
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,78.879
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2001,79.633
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2002,80.368
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2003,81.083
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2004,81.778
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2005,82.452
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2006,83.107
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2007,83.742
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2008,84.359
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2009,84.955
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2010,85.533
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2011,86.092
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2012,86.634
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2013,87.156
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2014,87.651
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2015,88.118
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2016,88.559
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2017,88.976
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2018,89.37
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2019,89.741
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2020,90.092
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2021,90.423
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2022,90.735
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2023,91.029
Gabon,GAB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2024,91.307
