country,country_code,indicator,indicator_code,year,value
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1966,94.3662144947658
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1967,96.9604868849254
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1968,83.1064852758912
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1969,88.662202161031
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1970,99.7816919772448
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1971,103.318322288749
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1972,106.524604282625
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1973,131.449182060787
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1974,162.618334686551
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1975,189.808393377344
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1976,179.313963291107
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1977,213.842543162023
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1978,257.581042237291
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1979,300.258528034397
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1980,337.692534389517
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1981,295.982064548083
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1982,282.141307055388
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1983,268.649299816803
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1984,214.794357389928
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1985,262.816616745779
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1986,207.654408714945
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1987,236.954802725846
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1988,274.874465999589
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1989,280.929809553919
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1990,300.639895740381
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1991,627.578919318827
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1992,623.485927783598
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1993,635.3611677282
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1994,608.2774907808
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1995,621.681391269646
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1996,651.784945724837
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1997,600.224023405754
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1998,610.234711461724
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1999,575.459893151216
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,538.054072348854
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,459.803068381399
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,2002,376.531026962584
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,2003,308.719123437587
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,2004,593.285346326581
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,2005,616.483657865348
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,2006,614.544307904464
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,2007,724.726407242432
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,2008,859.127671411226
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,2009,774.888030908091
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,2010,801.033372714536
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,2011,710.608411468152
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,2012,692.579361628102
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,2013,653.862713272743
"Gambia, The",GMB,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,568.00453558864
