country,country_code,indicator,indicator_code,year,value
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,1987,1543.58202459728
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,1988,1843.90343235858
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,1989,1853.44090838675
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,1990,1610.98027146868
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,1991,1307.82342713006
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,1992,757.223548505358
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,1993,550.015542609224
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,1994,519.815578814965
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,1995,578.336923460866
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,1996,689.034634153312
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,1997,807.032285752352
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,1998,851.515542450841
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,1999,673.537782887275
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,749.908534993961
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,801.98383707929
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,2002,853.526171868939
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,2003,1010.03151630868
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,2004,1305.04748557208
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,2005,1642.78359414797
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,2006,1996.02013272284
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,2007,2635.36650276116
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,2008,3324.7537205015
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,2009,2822.68939668797
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,2010,3281.72930937343
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,2011,4119.66818307193
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,2012,4530.69533409431
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,2013,4712.00229382665
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,4830.33486170249
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,2015,4086.6223465965
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,2016,4143.40125686315
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,2017,4418.75206546679
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,2018,4804.0546040444
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,2019,4741.2832715876
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,2020,4300.85701291207
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,2021,5083.60695484577
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,2022,6729.84659930283
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,2023,8283.66960652261
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,2024,9193.66366361489
