country,country_code,indicator,indicator_code,year,value
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1960,84619845881.2608
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1961,96558204043.1028
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1962,105895435234.343
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1963,112232503744.1
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1964,123330404665.086
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1965,134774688191.161
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1966,143304275683.979
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1967,145100667772.69
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1968,156527292653.157
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1969,177733486326.06
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1970,216629229947.096
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1971,250900942396.699
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1972,300899944795.436
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1973,399833571167.215
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1974,446934971657.471
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1975,492434094920.105
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1976,521658712132.981
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1977,602698323085.993
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1978,743182891918.208
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1979,884574218333.155
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1980,953772499462.019
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1981,803404797057.551
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1982,779421633755.138
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1983,773507930294.906
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1984,727767760978.627
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1985,735218723093.277
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1986,1050092624515.9
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1987,1302932318824.81
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1988,1406367016371.53
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1989,1404092925205.45
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1990,1778162195860.07
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1991,1875792575132.59
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1992,2141377582968.07
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1993,2078954217437.6
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1994,2215282632276.73
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1995,2593053091306.13
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1996,2506576553158.31
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1997,2218790886532.82
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1998,2247760364565.97
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,1999,2213873468586.88
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,2000,1966980701145.1
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,2001,1966381496641.73
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,2002,2102350798305.89
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,2003,2534715518349.01
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,2004,2852317768061.78
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,2005,2893393187361.87
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,2006,3046308753670.58
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,2007,3484056680854.91
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,2008,3808786022312.5
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,2009,3479800820863.28
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,2010,3468154343000.01
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,2011,3824828563521.41
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,2012,3597896500945.31
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,2013,3808086291482.36
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,2014,3965800686309.79
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,2015,3423568450957.03
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,2016,3537784107980.55
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,2017,3763092263752.95
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,2018,4052008447223.53
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,2019,3957208055215.68
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,2020,3940142541354.1
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,2021,4348297440387.53
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,2022,4163596357879.39
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,2023,4525703903627.53
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,2024,4659929336890.62
