country,country_code,indicator,indicator_code,year,value
Ghana,GHA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2001,18.7116417612495
Ghana,GHA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2002,20.0290266464737
Ghana,GHA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2003,22.0203756781146
Ghana,GHA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2004,23.4793110246594
Ghana,GHA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2005,22.7457889920708
Ghana,GHA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2006,15.2883466766383
Ghana,GHA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2007,17.8651441453915
Ghana,GHA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2008,20.5460947523142
Ghana,GHA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2009,18.027952390966
Ghana,GHA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2010,20.1575042881243
Ghana,GHA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2011,21.1409260461554
Ghana,GHA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2012,26.8839178478186
Ghana,GHA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2013,19.2811347818803
Ghana,GHA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2014,18.2035086076329
Ghana,GHA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2015,17.3642996458735
Ghana,GHA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2016,18.2895853622151
Ghana,GHA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2017,17.355240305187
Ghana,GHA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2018,17.6018475152484
Ghana,GHA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2019,17.5109450941033
Ghana,GHA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2020,21.8835544057028
Ghana,GHA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2021,20.7508748712557
Ghana,GHA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2022,22.6789929507667
