country,country_code,indicator,indicator_code,year,value
Ghana,GHA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1990,11.4367986938714
Ghana,GHA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1991,13.1595956217207
Ghana,GHA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1992,10.7686571823574
Ghana,GHA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,1993,13.1492471785336
Ghana,GHA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2001,17.1929278946802
Ghana,GHA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2002,17.4931112111661
Ghana,GHA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2003,18.4776861347961
Ghana,GHA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2004,21.7521055188451
Ghana,GHA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2005,21.321508315786
Ghana,GHA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2006,12.534618528847
Ghana,GHA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2007,13.8779845463992
Ghana,GHA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2008,13.8959679074555
Ghana,GHA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2009,12.6124615220586
Ghana,GHA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2010,13.3883874032931
Ghana,GHA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2011,14.8657903615734
Ghana,GHA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2012,15.3681810106551
Ghana,GHA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2013,10.671836497112
Ghana,GHA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2014,11.2521859793493
Ghana,GHA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2015,11.6905632099655
Ghana,GHA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2016,11.058329192094
Ghana,GHA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2017,11.5770312754335
Ghana,GHA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2018,12.244241507483
Ghana,GHA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2019,11.9969959057137
Ghana,GHA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2020,11.3404319629261
Ghana,GHA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2021,12.2446867253345
Ghana,GHA,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2022,12.2975358062853
