country,country_code,indicator,indicator_code,year,value
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1977,60.0712491011416
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1978,61.0350759485946
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1979,58.8595325900755
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1980,62.5404372477722
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1981,60.4542982058926
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1982,60.1940899324122
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1983,60.8478295072984
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1984,62.345551491522
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1985,62.6733619741445
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1986,63.0053463994399
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1987,59.8210576115649
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1988,59.5657528951816
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1989,61.5071035164209
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1990,63.0824431597482
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1991,61.578274539272
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1992,63.5358617260457
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1993,65.2622873427856
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1994,65.3927383843667
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1995,65.2457856974465
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1996,65.3013256100044
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1997,64.4388225452742
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1998,64.7759102885302
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1999,64.1712743712605
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2000,64.7056611551237
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2001,66.7382769120366
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2002,65.4995987757159
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2003,64.6222712747494
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2004,66.3973842562055
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2005,61.5603407880724
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2006,63.8382260659707
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2007,64.9869264291458
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2008,66.6832321787831
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2009,69.6030385450941
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2010,68.3658862297886
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2011,69.1452979256744
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2012,70.4669210253371
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2013,69.7398321809878
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2014,68.276013392712
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2015,66.7627566941068
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2016,66.932386278402
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2017,67.0222251468242
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2018,66.0254191815443
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2019,66.8649527989476
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2020,66.8125556845248
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2021,65.2208763804774
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2022,64.5221062198987
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2023,64.5316121151055
Grenada,GRD,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2024,65.1507943916394
