country,country_code,indicator,indicator_code,year,value
Guatemala,GTM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1965,17.0454571913367
Guatemala,GTM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1966,17.8334148270655
Guatemala,GTM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1967,18.5598142414861
Guatemala,GTM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1968,18.6573610679913
Guatemala,GTM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1969,19.0636247559534
Guatemala,GTM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1970,18.6645850840336
Guatemala,GTM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1971,18.8133968158001
Guatemala,GTM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1972,18.7635368581354
Guatemala,GTM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1973,19.1988549276485
Guatemala,GTM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1974,18.7242707171998
Guatemala,GTM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1975,18.4936476590142
Guatemala,GTM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1976,20.102908386461
Guatemala,GTM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1977,20.8825902424016
Guatemala,GTM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1978,21.1965465951785
Guatemala,GTM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1979,21.5246929700492
Guatemala,GTM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1980,21.9869331234848
Guatemala,GTM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1981,21.7464982255069
Guatemala,GTM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1982,21.2363285959503
Guatemala,GTM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1983,20.5041858340691
Guatemala,GTM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1984,19.7562637829328
Guatemala,GTM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1985,19.6696197610857
Guatemala,GTM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1986,20.0904715236111
Guatemala,GTM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1987,19.8464241397194
Guatemala,GTM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1988,20.1908007843505
Guatemala,GTM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1989,20.1050481756504
Guatemala,GTM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1990,19.7877597547569
Guatemala,GTM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1991,19.5754638267262
Guatemala,GTM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1992,20.0092308259127
Guatemala,GTM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1993,19.8796257082051
Guatemala,GTM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1994,19.6855446033237
Guatemala,GTM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1995,19.6615925421153
Guatemala,GTM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1996,19.6854390723014
Guatemala,GTM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1997,19.974251757491
Guatemala,GTM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1998,19.9943682814931
Guatemala,GTM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,1999,20.1198731851264
Guatemala,GTM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2000,19.7911162779183
Guatemala,GTM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2001,27.3420734989877
Guatemala,GTM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2002,27.1826895247297
Guatemala,GTM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2003,27.4424966147734
Guatemala,GTM,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,2004,27.8833550863791
