country,country_code,indicator,indicator_code,year,value
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1960,31.121
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1961,31.768
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1962,32.424
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1963,33.086
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1964,33.682
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1965,33.989
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1966,34.298
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1967,34.608
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1968,34.919
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1969,35.232
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1970,35.545
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1971,35.861
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1972,36.177
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1973,36.494
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1974,36.809
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1975,37.125
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1976,37.443
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1977,37.762
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1978,38.081
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1979,38.402
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1980,38.724
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1981,39.047
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1982,39.37
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1983,39.695
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1984,40.021
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1985,40.347
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1986,40.674
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1987,41.002
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1988,41.332
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1989,41.661
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1990,41.992
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1991,42.323
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1992,42.655
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1993,42.987
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1994,43.32
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1995,43.654
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1996,43.989
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1997,44.323
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1998,44.659
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1999,44.995
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,45.332
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2001,45.668
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2002,46.005
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2003,46.318
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2004,46.616
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2005,46.913
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2006,47.21
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2007,47.508
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2008,47.807
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2009,48.104
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2010,48.403
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2011,48.701
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2012,49.0
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2013,49.311
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2014,49.634
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2015,49.971
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2016,50.319
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2017,50.68
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2018,51.054
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2019,51.439
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2020,51.836
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2021,52.245
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2022,52.666
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2023,53.098
Guatemala,GTM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2024,53.542
