country,country_code,indicator,indicator_code,year,value
Guinea,GIN,"Labor force, total",SL.TLF.TOTL.IN,1990,2319276.0
Guinea,GIN,"Labor force, total",SL.TLF.TOTL.IN,1991,2411723.0
Guinea,GIN,"Labor force, total",SL.TLF.TOTL.IN,1992,2486845.0
Guinea,GIN,"Labor force, total",SL.TLF.TOTL.IN,1993,2560543.0
Guinea,GIN,"Labor force, total",SL.TLF.TOTL.IN,1994,2634860.0
Guinea,GIN,"Labor force, total",SL.TLF.TOTL.IN,1995,2706327.0
Guinea,GIN,"Labor force, total",SL.TLF.TOTL.IN,1996,2781257.0
Guinea,GIN,"Labor force, total",SL.TLF.TOTL.IN,1997,2828305.0
Guinea,GIN,"Labor force, total",SL.TLF.TOTL.IN,1998,2870782.0
Guinea,GIN,"Labor force, total",SL.TLF.TOTL.IN,1999,2930880.0
Guinea,GIN,"Labor force, total",SL.TLF.TOTL.IN,2000,2981628.0
Guinea,GIN,"Labor force, total",SL.TLF.TOTL.IN,2001,3006910.0
Guinea,GIN,"Labor force, total",SL.TLF.TOTL.IN,2002,3046057.0
Guinea,GIN,"Labor force, total",SL.TLF.TOTL.IN,2003,3089081.0
Guinea,GIN,"Labor force, total",SL.TLF.TOTL.IN,2004,3127528.0
Guinea,GIN,"Labor force, total",SL.TLF.TOTL.IN,2005,3158236.0
Guinea,GIN,"Labor force, total",SL.TLF.TOTL.IN,2006,3194025.0
Guinea,GIN,"Labor force, total",SL.TLF.TOTL.IN,2007,3243009.0
Guinea,GIN,"Labor force, total",SL.TLF.TOTL.IN,2008,3298093.0
Guinea,GIN,"Labor force, total",SL.TLF.TOTL.IN,2009,3354436.0
Guinea,GIN,"Labor force, total",SL.TLF.TOTL.IN,2010,3411704.0
Guinea,GIN,"Labor force, total",SL.TLF.TOTL.IN,2011,3471253.0
Guinea,GIN,"Labor force, total",SL.TLF.TOTL.IN,2012,3531500.0
Guinea,GIN,"Labor force, total",SL.TLF.TOTL.IN,2013,3590645.0
Guinea,GIN,"Labor force, total",SL.TLF.TOTL.IN,2014,3651040.0
Guinea,GIN,"Labor force, total",SL.TLF.TOTL.IN,2015,3714419.0
Guinea,GIN,"Labor force, total",SL.TLF.TOTL.IN,2016,3778710.0
Guinea,GIN,"Labor force, total",SL.TLF.TOTL.IN,2017,3841450.0
Guinea,GIN,"Labor force, total",SL.TLF.TOTL.IN,2018,3904140.0
Guinea,GIN,"Labor force, total",SL.TLF.TOTL.IN,2019,3969628.0
Guinea,GIN,"Labor force, total",SL.TLF.TOTL.IN,2020,4051852.0
Guinea,GIN,"Labor force, total",SL.TLF.TOTL.IN,2021,4193239.0
Guinea,GIN,"Labor force, total",SL.TLF.TOTL.IN,2022,4309075.0
Guinea,GIN,"Labor force, total",SL.TLF.TOTL.IN,2023,4426538.0
Guinea,GIN,"Labor force, total",SL.TLF.TOTL.IN,2024,4534264.0
