country,country_code,indicator,indicator_code,year,value
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1960,10.472
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1961,10.936
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1962,11.418
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1963,11.919
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1964,12.439
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1965,12.978
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1966,13.537
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1967,14.116
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1968,14.716
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1969,15.336
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1970,15.977
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1971,16.641
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1972,17.327
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1973,18.033
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1974,18.763
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1975,19.515
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1976,20.291
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1977,21.087
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1978,21.907
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1979,22.75
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1980,23.617
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1981,24.503
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1982,25.414
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1983,26.072
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1984,26.346
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1985,26.621
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1986,26.898
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1987,27.178
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1988,27.459
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1989,27.741
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1990,28.026
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1991,28.312
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1992,28.601
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1993,28.89
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1994,29.182
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1995,29.475
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1996,29.77
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1997,30.052
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1998,30.323
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1999,30.595
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,30.869
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2001,31.144
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2002,31.42
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2003,31.698
Guinea,GIN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2004,31.977
