country,country_code,indicator,indicator_code,year,value
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1960,38.4852638793694
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1961,38.3866917765223
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1962,36.0562537402753
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1963,36.5416528377033
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1964,36.3282419886193
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1965,36.7172413793103
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1966,37.2170781893004
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1967,36.7975546672937
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1968,36.3438520130577
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1969,35.0180505415162
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1970,35.5862584017924
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1971,36.536075163978
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1972,38.4114800600701
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1973,43.1606699751861
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1974,33.2984183513146
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1975,31.9326315789474
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1976,38.5001320306311
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1977,39.5305414777274
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1978,38.5028003470853
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1979,38.8432244928738
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1980,36.2068965517241
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1981,39.9499085754482
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1982,41.2171507607192
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1983,43.3242506811989
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1984,42.9945855084434
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1985,40.7179487179487
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1986,39.1244211578074
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1987,34.5035903739974
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1988,38.6176906384169
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1989,26.9119086299269
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1990,32.6651783976449
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1991,25.5504799055587
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1992,26.1265887790474
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1993,23.5454299438468
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1994,22.2424224212366
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1995,21.8792119862111
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1996,22.6779343595692
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1997,25.9238076822731
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1998,28.9900184617783
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1999,30.0707560596224
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2000,33.1518617830032
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2001,34.2996226494298
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2002,34.5281129320535
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2003,35.3974622390049
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2004,34.8625579676053
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2005,37.9228861002105
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2006,40.2662192140463
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2007,40.585736957635
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2008,39.5224900126455
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2009,40.9796836302752
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2010,41.5645777782864
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2011,42.7997615212712
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2012,43.0016644065102
Guyana,GUY,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2013,42.9589903299137
