country,country_code,indicator,indicator_code,year,value
Hungary,HUN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2000,6.77804327
Hungary,HUN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2001,6.82614756
Hungary,HUN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2002,7.1210165
Hungary,HUN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2003,8.1208477
Hungary,HUN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2004,7.75805521
Hungary,HUN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2005,7.98451281
Hungary,HUN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2006,7.77806187
Hungary,HUN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2007,7.20393276
Hungary,HUN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2008,7.08839607
Hungary,HUN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2009,7.22221708
Hungary,HUN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2010,7.44858313
Hungary,HUN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2011,7.48130894
Hungary,HUN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2012,7.41063309
Hungary,HUN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2013,7.23441315
Hungary,HUN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2014,7.04665947
Hungary,HUN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2015,6.85402203
Hungary,HUN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2016,6.9877739
Hungary,HUN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2017,6.74387121
Hungary,HUN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2018,6.57987547
Hungary,HUN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2019,6.28167295
Hungary,HUN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2020,7.28760386
Hungary,HUN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2021,7.38329268
Hungary,HUN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2022,6.68981791
Hungary,HUN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2023,6.3573041
