country,country_code,indicator,indicator_code,year,value
Hungary,HUN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1995,51.7369232513785
Hungary,HUN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1996,52.6589238804759
Hungary,HUN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1997,52.1661166042058
Hungary,HUN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1998,52.073821012383
Hungary,HUN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1999,52.9058590498515
Hungary,HUN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2000,53.1799868533602
Hungary,HUN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2001,54.2933139696518
Hungary,HUN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2002,55.6510899082809
Hungary,HUN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2003,55.6102732391313
Hungary,HUN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2004,54.3555693723428
Hungary,HUN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2005,55.2362663318157
Hungary,HUN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2006,56.0697458908412
Hungary,HUN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2007,55.8105907838157
Hungary,HUN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2008,56.412478905794
Hungary,HUN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2009,56.8583070750119
Hungary,HUN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2010,56.6270118030494
Hungary,HUN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2011,55.9639510898261
Hungary,HUN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2012,55.199441422864
Hungary,HUN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2013,55.4667804576846
Hungary,HUN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2014,54.8738788494878
Hungary,HUN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2015,54.1102603119559
Hungary,HUN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2016,55.5583018252813
Hungary,HUN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2017,55.9261229091602
Hungary,HUN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2018,56.0731413227318
Hungary,HUN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2019,56.5905221339387
Hungary,HUN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2020,56.7924026680508
Hungary,HUN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2021,57.3675893935087
Hungary,HUN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2022,57.6092276163693
Hungary,HUN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2023,58.1571581727837
Hungary,HUN,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2024,59.7298441717171
