country,country_code,indicator,indicator_code,year,value
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1976,402000000.0
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1977,512600000.0
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1978,640300000.0
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1979,779600000.0
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1980,919800000.0
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1981,896400000.0
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1982,685500000.0
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1983,742000000.0
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1984,743200000.0
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1985,814000000.0
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1986,1096800000.0
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1987,1376100000.0
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1988,1425400000.0
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1989,1401500000.0
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1990,1588537736.00508
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1991,1551428276.44181
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1992,1528960411.68162
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1993,1398537998.73288
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1994,1560040900.57491
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1995,1803609057.7503
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1996,1889498250.54023
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1997,1851783898.90621
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1998,1917572130.46608
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1999,1950022114.8137
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2000,1828277795.17648
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2001,1890585937.18683
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2002,2109265078.25593
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2003,2246154626.0205
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2004,2741066105.83188
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2005,2889198762.97782
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2006,3099263873.56555
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2007,4118761332.97384
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2008,4654249887.02592
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2009,3718839975.94937
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2010,4123232725.5837
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2011,4852948532.45585
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2012,4608969568.81448
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2013,4595544708.166
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2014,4895694603.21937
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2015,4681651697.35764
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2016,4516717478.78196
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2017,5001707451.62968
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2018,5720073406.9791
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2019,5351948670.56903
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2020,4726023998.34496
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2021,6116334340.63655
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2022,7531445201.69024
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2023,6856871615.10324
Iceland,ISL,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2024,7017672662.20087
