country,country_code,indicator,indicator_code,year,value
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,1967,53.2051866988581
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,1968,64.6547730642556
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,1969,74.0988114128793
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,1970,79.118823484002
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,1971,78.5428393869752
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,1972,90.1147549138956
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,1973,129.886231088685
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,1974,200.710984454591
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,1975,231.060120618497
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,1976,275.713167824796
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,1977,330.670214101079
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,1978,362.483779779007
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,1979,353.424175826329
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,1980,486.620172021155
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,1981,560.830336032961
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,1982,577.745632722784
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,1983,507.682945653414
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,1984,519.774063103241
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,1985,511.400883618027
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,1986,469.834241253429
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,1987,437.60655039936
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,1988,476.662483405818
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,1989,524.143027322576
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,1990,578.420121135382
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,1991,624.387495384411
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,1992,673.67103954742
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,1993,817.395116417856
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,1994,899.793982949817
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,1995,1011.22614205568
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,1996,1118.92133024129
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,1997,1044.60674832472
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,1998,454.877800792123
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,1999,657.268934667018
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,2000,763.711124950924
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,2001,732.307093405708
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,2002,881.002913569131
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,2003,1043.2105838671
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,2004,1126.84004447173
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,2005,1238.21447629488
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,2006,1558.31562847163
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,2007,1823.21976255073
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,2008,2124.55483920618
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,2009,2218.48541852977
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,2010,3065.68348377765
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,2011,3579.46442466152
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,2012,3632.27254030331
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,2013,3566.60284506078
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,2014,3441.06808464008
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,2015,3288.22269725538
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,2016,3521.46943457574
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,2017,3798.88326174526
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,2018,3860.95353090726
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,2019,4106.94856160358
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,2020,3853.70288774146
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,2021,4287.17313995098
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,2022,4730.83484836107
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,2023,4876.30774512252
Indonesia,IDN,GDP per capita (current US$),NY.GDP.PCAP.CD,2024,4925.43048751861
