country,country_code,indicator,indicator_code,year,value
"Iran, Islamic Rep.",IRN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1976,24719000000.0
"Iran, Islamic Rep.",IRN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1977,24076000000.0
"Iran, Islamic Rep.",IRN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1978,17675000000.0
"Iran, Islamic Rep.",IRN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1979,24171000000.0
"Iran, Islamic Rep.",IRN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1980,12338000000.0
"Iran, Islamic Rep.",IRN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1981,11831000000.0
"Iran, Islamic Rep.",IRN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1982,20452000000.0
"Iran, Islamic Rep.",IRN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1983,21507000000.0
"Iran, Islamic Rep.",IRN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1984,17087000000.0
"Iran, Islamic Rep.",IRN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1985,14175000000.0
"Iran, Islamic Rep.",IRN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1986,7171000000.0
"Iran, Islamic Rep.",IRN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1987,11916000000.0
"Iran, Islamic Rep.",IRN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1988,10709000000.0
"Iran, Islamic Rep.",IRN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1989,13081000000.0
"Iran, Islamic Rep.",IRN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1990,19305000000.0
"Iran, Islamic Rep.",IRN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1991,18661000000.0
"Iran, Islamic Rep.",IRN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1992,19868000000.0
"Iran, Islamic Rep.",IRN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1993,18080000000.0
"Iran, Islamic Rep.",IRN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1994,19434000000.0
"Iran, Islamic Rep.",IRN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1995,18360000000.0
"Iran, Islamic Rep.",IRN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1996,22391000000.0
"Iran, Islamic Rep.",IRN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1997,18381000000.0
"Iran, Islamic Rep.",IRN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1998,13118000000.0
"Iran, Islamic Rep.",IRN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1999,21030000000.0
"Iran, Islamic Rep.",IRN,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2000,28345000000.0
