country,country_code,indicator,indicator_code,year,value
"Iran, Islamic Rep.",IRN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1976,13860000000.0
"Iran, Islamic Rep.",IRN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1977,16718000000.0
"Iran, Islamic Rep.",IRN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1978,11803000000.0
"Iran, Islamic Rep.",IRN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1979,8521000000.0
"Iran, Islamic Rep.",IRN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1980,10888000000.0
"Iran, Islamic Rep.",IRN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1981,13138000000.0
"Iran, Islamic Rep.",IRN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1982,12552000000.0
"Iran, Islamic Rep.",IRN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1983,18027000000.0
"Iran, Islamic Rep.",IRN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1984,14729000000.0
"Iran, Islamic Rep.",IRN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1985,12006000000.0
"Iran, Islamic Rep.",IRN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1986,10585000000.0
"Iran, Islamic Rep.",IRN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1987,12005000000.0
"Iran, Islamic Rep.",IRN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1988,10608000000.0
"Iran, Islamic Rep.",IRN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1989,13448000000.0
"Iran, Islamic Rep.",IRN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1990,18330000000.0
"Iran, Islamic Rep.",IRN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1991,25190000000.0
"Iran, Islamic Rep.",IRN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1992,23274000000.0
"Iran, Islamic Rep.",IRN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1993,19287000000.0
"Iran, Islamic Rep.",IRN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1994,12617000000.0
"Iran, Islamic Rep.",IRN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1995,12774000000.0
"Iran, Islamic Rep.",IRN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1996,14989000000.0
"Iran, Islamic Rep.",IRN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1997,14123000000.0
"Iran, Islamic Rep.",IRN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1998,14286000000.0
"Iran, Islamic Rep.",IRN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1999,13433000000.0
"Iran, Islamic Rep.",IRN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2000,15207000000.0
