country,country_code,indicator,indicator_code,year,value
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1960,76.848
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1961,77.985
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1962,78.754
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1963,79.502
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1964,80.232
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1965,80.94
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1966,81.63
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1967,82.3
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1968,82.952
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1969,83.582
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1970,84.195
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1971,84.789
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1972,85.351
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1973,85.793
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1974,86.224
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1975,86.643
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1976,87.053
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1977,87.45
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1978,87.838
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1979,88.215
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1980,88.583
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1981,88.94
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1982,89.287
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1983,89.608
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1984,89.719
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1985,89.828
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1986,89.936
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1987,90.044
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1988,90.15
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1989,90.255
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1990,90.359
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1991,90.463
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1992,90.565
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1993,90.666
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1994,90.767
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1995,90.866
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1996,90.943
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1997,91.009
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1998,91.074
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1999,91.139
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,91.203
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2001,91.267
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2002,91.33
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2003,91.393
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2004,91.456
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2005,91.518
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2006,91.58
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2007,91.641
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2008,91.702
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2009,91.763
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2010,91.826
Israel,ISR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2011,91.892
