country,country_code,indicator,indicator_code,year,value
Italy,ITA,"Labor force, total",SL.TLF.TOTL.IN,1990,23724831.0
Italy,ITA,"Labor force, total",SL.TLF.TOTL.IN,1991,24065506.0
Italy,ITA,"Labor force, total",SL.TLF.TOTL.IN,1992,23363975.0
Italy,ITA,"Labor force, total",SL.TLF.TOTL.IN,1993,23175920.0
Italy,ITA,"Labor force, total",SL.TLF.TOTL.IN,1994,22891358.0
Italy,ITA,"Labor force, total",SL.TLF.TOTL.IN,1995,22754181.0
Italy,ITA,"Labor force, total",SL.TLF.TOTL.IN,1996,22979056.0
Italy,ITA,"Labor force, total",SL.TLF.TOTL.IN,1997,23030615.0
Italy,ITA,"Labor force, total",SL.TLF.TOTL.IN,1998,23186365.0
Italy,ITA,"Labor force, total",SL.TLF.TOTL.IN,1999,23313903.0
Italy,ITA,"Labor force, total",SL.TLF.TOTL.IN,2000,23341777.0
Italy,ITA,"Labor force, total",SL.TLF.TOTL.IN,2001,23396979.0
Italy,ITA,"Labor force, total",SL.TLF.TOTL.IN,2002,23619487.0
Italy,ITA,"Labor force, total",SL.TLF.TOTL.IN,2003,23941068.0
Italy,ITA,"Labor force, total",SL.TLF.TOTL.IN,2004,24568011.0
Italy,ITA,"Labor force, total",SL.TLF.TOTL.IN,2005,24435953.0
Italy,ITA,"Labor force, total",SL.TLF.TOTL.IN,2006,24525284.0
Italy,ITA,"Labor force, total",SL.TLF.TOTL.IN,2007,24533838.0
Italy,ITA,"Labor force, total",SL.TLF.TOTL.IN,2008,24903672.0
Italy,ITA,"Labor force, total",SL.TLF.TOTL.IN,2009,24718373.0
Italy,ITA,"Labor force, total",SL.TLF.TOTL.IN,2010,24680015.0
Italy,ITA,"Labor force, total",SL.TLF.TOTL.IN,2011,24716194.0
Italy,ITA,"Labor force, total",SL.TLF.TOTL.IN,2012,25274094.0
Italy,ITA,"Labor force, total",SL.TLF.TOTL.IN,2013,25176920.0
Italy,ITA,"Labor force, total",SL.TLF.TOTL.IN,2014,25330811.0
Italy,ITA,"Labor force, total",SL.TLF.TOTL.IN,2015,25270285.0
Italy,ITA,"Labor force, total",SL.TLF.TOTL.IN,2016,25548902.0
Italy,ITA,"Labor force, total",SL.TLF.TOTL.IN,2017,25724021.0
Italy,ITA,"Labor force, total",SL.TLF.TOTL.IN,2018,25890984.0
Italy,ITA,"Labor force, total",SL.TLF.TOTL.IN,2019,25759941.0
Italy,ITA,"Labor force, total",SL.TLF.TOTL.IN,2020,25002925.0
Italy,ITA,"Labor force, total",SL.TLF.TOTL.IN,2021,25032297.0
Italy,ITA,"Labor force, total",SL.TLF.TOTL.IN,2022,25351560.0
Italy,ITA,"Labor force, total",SL.TLF.TOTL.IN,2023,25810867.0
Italy,ITA,"Labor force, total",SL.TLF.TOTL.IN,2024,25828140.0
