country,country_code,indicator,indicator_code,year,value
Japan,JPN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1996,312229721081.345
Japan,JPN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1997,301861845252.08
Japan,JPN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1998,246561406046.321
Japan,JPN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1999,274510565605.246
Japan,JPN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2000,336333048850.373
Japan,JPN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2001,306243011563.123
Japan,JPN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2002,294044272968.69
Japan,JPN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2003,335750679045.881
Japan,JPN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2004,400244236419.455
Japan,JPN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2005,464017819272.996
Japan,JPN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2006,524112537299.058
Japan,JPN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2007,560022339985.962
Japan,JPN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2008,693840564099.35
Japan,JPN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2009,490053661050.983
Japan,JPN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2010,626912367126.021
Japan,JPN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2011,794424638305.591
Japan,JPN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2012,830124000741.675
Japan,JPN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2013,784588205045.521
Japan,JPN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2014,799005258039.646
Japan,JPN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2015,629372737323.244
Japan,JPN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2016,584657969278.599
Japan,JPN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2017,644829099659.157
Japan,JPN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2018,724990493562.357
Japan,JPN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2019,693817635468.392
Japan,JPN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2020,603853432040.28
Japan,JPN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2021,733047375991.388
Japan,JPN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2022,868099823799.085
Japan,JPN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2023,763503607887.476
Japan,JPN,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2024,718736498495.688
