country,country_code,indicator,indicator_code,year,value
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1979,61.7443916163834
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1980,68.8994190517994
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1981,69.3609627412634
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1982,75.9227068539532
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1983,69.770988546035
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1984,62.5600556218531
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1985,70.2406413864578
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1986,72.366463999025
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1987,69.3842618484383
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1988,64.4984775808265
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1989,68.3922351681525
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1990,72.3084624562701
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1991,71.7127366053471
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1992,49.9339540616461
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1993,49.8051786266304
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1994,52.0316196914354
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1995,52.9135886784787
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1996,55.5650024449831
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1997,55.7871593454844
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1998,56.6565747209339
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,1999,58.7631197105007
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2000,58.1471537686996
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2001,60.5801527203968
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2002,60.5976704358774
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2003,60.053878015961
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2004,63.4678621644728
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2005,64.8679455287878
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2006,65.8063992846336
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2007,62.2164601031848
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2008,63.0035116947136
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2009,61.4868981310704
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2010,62.8655142591032
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2011,60.6301628858578
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2012,60.3834589738113
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2013,60.4059599495601
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2014,60.4057854650475
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2015,60.125741814742
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2016,60.689938986849
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2017,61.8481019013483
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2018,62.6799735968867
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2019,66.9541704711102
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2020,67.449589715659
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2021,65.2745182641142
Kiribati,KIR,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,2022,65.6891354007431
