country,country_code,indicator,indicator_code,year,value
Kosovo,XKX,"Population, total",SP.POP.TOTL,1960,984846.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,1961,1011421.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,1962,1036950.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,1963,1062737.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,1964,1090270.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,1965,1120168.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,1966,1152586.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,1967,1187667.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,1968,1214208.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,1969,1231460.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,1970,1249555.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,1971,1273021.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,1972,1301579.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,1973,1331176.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,1974,1363123.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,1975,1397686.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,1976,1434880.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,1977,1474457.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,1978,1516249.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,1979,1559787.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,1980,1604818.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,1981,1646565.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,1982,1683166.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,1983,1719245.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,1984,1756818.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,1985,1796018.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,1986,1836972.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,1987,1880590.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,1988,1917882.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,1989,1946339.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,1990,1973790.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,1991,2005362.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,1992,2039723.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,1993,2072664.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,1994,2105256.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,1995,2137514.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,1996,2168753.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,1997,2197284.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,1998,2078964.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,1999,1871524.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,2000,1802493.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,2001,1820009.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,2002,1829462.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,2003,1826434.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,2004,1822773.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,2005,1818354.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,2006,1813079.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,2007,1807094.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,2008,1800858.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,2009,1794681.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,2010,1788743.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,2011,1791949.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,2012,1807126.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,2013,1818119.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,2014,1812788.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,2015,1788274.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,2016,1777568.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,2017,1791019.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,2018,1797086.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,2019,1788891.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,2020,1790151.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,2021,1786079.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,2022,1768096.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,2023,1682668.0
Kosovo,XKX,"Population, total",SP.POP.TOTL,2024,1527324.0
