country,country_code,indicator,indicator_code,year,value
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1960,74.893
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1961,75.787
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1962,76.66
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1963,77.511
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1964,78.341
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1965,79.273
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1966,80.716
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1967,82.081
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1968,83.371
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1969,84.582
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1970,85.661
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1971,86.444
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1972,87.192
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1973,87.902
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1974,88.579
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1975,89.384
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1976,90.745
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1977,91.944
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1978,93.0
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1979,93.928
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1980,94.781
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1981,95.67
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1982,96.414
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1983,97.034
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1984,97.551
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1985,97.903
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1986,97.917
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1987,97.932
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1988,97.946
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1989,97.96
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1990,97.974
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1991,97.988
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1992,98.002
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1993,98.016
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1994,98.029
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1995,98.096
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1996,98.325
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1997,98.527
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1998,98.705
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,1999,98.862
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2000,99.0
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2001,99.908
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2002,100.0
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2003,100.0
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2004,100.0
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2005,100.0
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2006,100.0
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2007,100.0
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2008,100.0
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2009,100.0
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2010,100.0
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2011,100.0
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2012,100.0
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2013,100.0
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2014,100.0
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2015,100.0
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2016,100.0
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2017,100.0
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2018,100.0
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2019,100.0
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2020,100.0
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2021,100.0
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2022,100.0
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2023,100.0
Kuwait,KWT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,2024,100.0
