country,country_code,indicator,indicator_code,year,value
Lao PDR,LAO,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2008,12.1029400169726
Lao PDR,LAO,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2009,12.7571661741676
Lao PDR,LAO,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2010,13.0271390929762
Lao PDR,LAO,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2011,13.1464121849439
Lao PDR,LAO,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2012,13.6053412560259
Lao PDR,LAO,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2013,13.7388338387583
Lao PDR,LAO,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2014,13.8301819353549
Lao PDR,LAO,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2015,13.5061406202026
Lao PDR,LAO,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2016,12.9431113387434
Lao PDR,LAO,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2017,12.2393204927448
Lao PDR,LAO,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2018,11.7206462434218
Lao PDR,LAO,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2019,11.4655560904234
Lao PDR,LAO,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2020,9.40187747302716
Lao PDR,LAO,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2021,10.3910216640385
Lao PDR,LAO,Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,2022,12.1129327825423
