country,country_code,indicator,indicator_code,year,value
Latvia,LVA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1994,17.7032807668671
Latvia,LVA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1995,32.2543608657751
Latvia,LVA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1996,31.1952946675084
Latvia,LVA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1997,32.2647638431005
Latvia,LVA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1998,33.6924880748246
Latvia,LVA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,1999,35.591131894191
Latvia,LVA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2000,32.4160143661631
Latvia,LVA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2001,29.7020664850077
Latvia,LVA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2002,29.795769058541
Latvia,LVA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2003,28.447972720743
Latvia,LVA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2004,28.2719544290178
Latvia,LVA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2005,28.2232954424469
Latvia,LVA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2006,27.8064170996318
Latvia,LVA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2007,26.1011141817687
Latvia,LVA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2008,30.6437067559111
Latvia,LVA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2009,37.825780697154
Latvia,LVA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2010,39.5781686309654
Latvia,LVA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2011,35.1497338007643
Latvia,LVA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2012,31.9341020414488
Latvia,LVA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2013,31.6898152607786
Latvia,LVA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2014,32.2820402619424
Latvia,LVA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2015,31.2338058250113
Latvia,LVA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2016,30.6890668667795
Latvia,LVA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2017,30.425906349079
Latvia,LVA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2018,30.6512990258421
Latvia,LVA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2019,31.7652338159017
Latvia,LVA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2020,36.2189154656701
Latvia,LVA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2021,38.5271346331543
Latvia,LVA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2022,36.3433742824555
Latvia,LVA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,2023,34.3617827813944
