country,country_code,indicator,indicator_code,year,value
Latvia,LVA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1992,799870954.0
Latvia,LVA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1993,1054374000.0
Latvia,LVA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1994,1021721000.0
Latvia,LVA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1995,1367556000.0
Latvia,LVA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1996,1220856000.0
Latvia,LVA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1997,1446650000.0
Latvia,LVA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1998,1591200000.0
Latvia,LVA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1999,1472600000.0
Latvia,LVA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2000,1320632273.3755
Latvia,LVA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2001,1467396866.64472
Latvia,LVA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2002,1717144161.72787
Latvia,LVA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2003,2200702281.36344
Latvia,LVA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2004,3356117900.64935
Latvia,LVA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2005,4802928906.92313
Latvia,LVA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2006,5621288816.99791
Latvia,LVA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2007,7761428688.33817
Latvia,LVA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2008,9083653307.72547
Latvia,LVA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2009,7019487531.36377
Latvia,LVA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2010,8828553085.28137
Latvia,LVA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2011,11681460735.5789
Latvia,LVA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2012,12485851949.2524
Latvia,LVA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2013,13077254980.2539
Latvia,LVA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2014,13697330421.9068
Latvia,LVA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2015,11583141760.7941
Latvia,LVA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2016,11610754097.9983
Latvia,LVA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2017,13166016701.5136
Latvia,LVA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2018,14821553019.3498
Latvia,LVA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2019,14286528845.1297
Latvia,LVA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2020,15402919371.8156
Latvia,LVA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2021,19151915506.9986
Latvia,LVA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2022,21759432772.1862
Latvia,LVA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2023,20169501296.8217
Latvia,LVA,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2024,19753997161.8149
