country,country_code,indicator,indicator_code,year,value
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1977,4929218293.23062
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1978,5763534005.16645
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1979,8647158795.77221
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1980,10367817039.3685
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1981,14563332304.4479
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1982,10975737489.4892
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1983,8978459965.211
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1984,8463687256.62457
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1985,5754037283.86471
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1986,4428720956.10721
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1987,5345949052.17835
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1988,5762053059.15978
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1989,6508642259.80492
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1990,7574762650.4537
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1991,8038020609.04528
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1992,7544573591.70917
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1993,8430851119.78768
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1994,6759514593.2634
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1995,5180500401.437
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1996,5844783308.09521
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1997,5927751920.36341
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1998,4929910224.18756
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1999,4301969973.7088
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2000,4129000000.0
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2001,4825000000.0
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2002,7408000000.0
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2003,7200000000.0
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2004,8768000000.0
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2005,11174000000.0
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2006,13219000000.0
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2007,17701400000.0
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2008,21658300000.0
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2009,22002000000.0
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2010,24559000000.0
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2011,11200000000.0
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2012,25590000000.0
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2013,34049500000.0
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2014,30418700000.0
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2015,16428500000.0
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2016,8667000000.0
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2017,10556200000.0
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2018,13786200000.0
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2019,17725900000.0
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2020,9148000000.0
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2021,16957200000.0
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2022,19665500000.0
Libya,LBY,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2023,23229500000.0
