country,country_code,indicator,indicator_code,year,value
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1960,673081724.751168
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1961,699161944.558097
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1962,739286907.592778
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1963,759345863.732667
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1964,802482183.728778
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1965,833563472.9981
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1966,900264584.590829
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1967,956436932.101291
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1968,1031669637.39553
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1969,1056391055.59617
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1970,1111859570.88252
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1971,1199507631.07603
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1972,1341590690.41365
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1973,1653062335.00286
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1974,1917508190.04689
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1975,2283049215.35339
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1976,2181844178.5534
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1977,2358930406.0689
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1978,2669755115.10935
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1979,3463565853.81023
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1980,5201818347.79882
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1981,4759333998.36746
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1982,4784977325.95803
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1983,4686457031.2269
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1984,3905938480.86119
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1985,3802557894.8719
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1986,4347989788.09257
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1987,3212900555.8091
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1988,3189456965.0482
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1989,3175638332.64471
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1990,3931334875.01376
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1991,3254713056.02171
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1992,3714966678.33381
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1993,4063298919.2868
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1994,3522227092.22839
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1995,3838100903.74974
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1996,4931861038.70763
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1997,4262965419.74998
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1998,4401967632.73718
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,1999,4277903780.29131
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,2000,4629247203.84524
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,2001,5438332601.90798
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,2002,5351701663.40807
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,2003,6372498889.66585
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,2004,5064732626.29389
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,2005,5859269752.61332
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,2006,6395712490.94304
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,2007,8524620889.57747
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,2008,10725137723.6549
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,2009,9616879409.43789
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,2010,9982711338.07029
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,2011,11551819617.874
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,2012,11578975061.9479
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,2013,12423555455.3853
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,2014,12522957399.2281
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,2015,11323020701.3017
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,2016,11848613858.442
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,2017,13176313593.5509
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,2018,13760033282.2925
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,2019,14104664678.5063
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,2020,13051441203.9474
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,2021,14354731964.331
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,2022,15325603272.6073
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,2023,15869945477.855
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,2024,17420814800.7045
