country,country_code,indicator,indicator_code,year,value
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1974,240170749.313212
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1975,319534012.922707
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1976,289014942.154047
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1977,350661178.523376
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1978,404998781.385301
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1979,413781756.270865
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1980,436437644.675593
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1981,331909843.288112
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1982,327218400.566399
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1983,309932067.084964
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1984,337141296.383808
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1985,291285364.408603
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1986,322988039.807345
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1987,326501727.126485
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1988,284498687.614301
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1989,321334632.625219
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1990,317612728.781646
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1991,335100470.752332
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1992,326250469.428996
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1993,334557349.124051
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1994,449699698.67988
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1995,504921701.709673
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1996,487519652.192612
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1997,325780238.311504
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1998,336751674.431724
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,1999,393578700.70141
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2000,416345471.733265
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2001,533276456.000002
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2002,500912682.217213
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2003,449484053.9
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2004,449294956.900001
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2005,830775687.867959
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2006,968904284.334079
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2007,1239005248.42619
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2008,1314383136.77181
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2009,1053628511.39625
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2010,1149778180.04392
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2011,1473088462.39181
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2012,1516163420.35346
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2013,1821876609.97487
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2014,2192525293.98057
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2015,2046513284.94142
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2016,2160447683.67501
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2017,2804375509.0987
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2018,3035724609.31613
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2019,2612087658.60379
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2020,1948329537.64657
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2021,2707724600.05556
Madagascar,MDG,"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,2022,3547068018.30841
