country,country_code,indicator,indicator_code,year,value
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,1960,1916229477.13657
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,1961,1901856122.72231
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,1962,2001489602.18475
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,1963,2510110348.16184
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,1964,2674423922.48842
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,1965,2956337669.29525
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,1966,3143517943.82632
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,1967,3188924677.08953
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,1968,3330371551.21161
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,1969,3664552041.34299
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,1970,3864145667.41365
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,1971,4244395955.78358
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,1972,5043347250.41815
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,1973,7662902677.9027
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,1974,9496204301.74981
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,1975,9298800799.46702
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,1976,11050234598.6249
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,1977,13139488632.5546
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,1978,16358079862.1096
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,1979,21213264962.0141
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,1980,24488224677.2105
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,1981,25004285791.7865
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,1982,26804493635.3297
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,1983,30347442110.9316
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,1984,33942897422.0465
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,1985,31199633352.9598
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,1986,27734111399.7525
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,1987,32181210157.9671
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,1988,35272109220.1988
