country,country_code,indicator,indicator_code,year,value
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1977,9900000.0
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1978,14800000.0
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1979,21700000.0
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1980,44000000.0
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1981,41700000.0
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1982,46000000.0
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1983,57600000.0
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1984,61000000.0
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1985,58000000.0
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1986,63000000.0
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1987,66500000.0
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1988,87300000.0
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1989,111300000.0
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1990,121200000.0
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1991,141800000.0
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1992,167900000.0
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1993,177760000.0
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1994,195053310.375924
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1995,235763727.26305
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1996,265519326.305794
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1997,306985323.548411
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1998,311495170.231028
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,1999,353902702.930093
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2000,341961956.559252
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2001,346255510.134251
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2002,344716763.406125
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2003,414289259.731187
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2004,564798879.288188
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2005,655480835.351375
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2006,815342078.5675
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2007,1304793082.43319
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2008,1649024113.44004
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2009,1081709976.37531
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2010,1241838404.98787
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2011,1716831030.81485
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2012,1575799539.90625
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2013,1702990425.17467
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2014,1960851019.20738
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2015,1894491132.34445
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2016,2094867586.4408
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2017,2224385072.57474
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2018,2764155942.95095
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2019,2742878962.27332
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2020,1708097329.58935
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2021,2390627183.62335
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2022,3316057612.22677
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2023,3295790967.03012
Maldives,MDV,"Goods imports (BoP, current US$)",BM.GSR.MRCH.CD,2024,3459112657.21985
